Date,Open,High,Low,Close,Volume,Adj Close
2008-08-20,71.24,71.43,70.29,70.69,2930700,60.98
2008-08-19,72.15,72.31,70.85,71.31,3688200,61.09
2008-08-18,73.59,73.90,72.04,72.45,4294100,62.06
2008-08-15,73.09,74.10,73.09,73.49,4407800,62.95
2008-08-14,72.55,73.87,72.21,73.04,2992100,62.57
2008-08-13,73.49,73.94,72.20,72.96,3847600,62.50
2008-08-12,74.54,74.54,73.38,73.60,4087600,63.05
2008-08-11,73.19,74.68,73.18,74.38,5461500,63.72
2008-08-08,71.14,73.91,71.14,73.48,5424900,62.95
2008-08-07,71.33,72.04,70.65,71.18,4324200,60.98
2008-08-06,71.75,72.08,70.84,71.81,3929000,61.52
2008-08-05,70.23,72.03,70.00,71.88,4878600,61.58
2008-08-04,70.03,70.44,69.35,69.75,2279700,59.75
2008-08-01,70.53,71.06,69.84,70.15,3026400,60.09
2008-07-31,70.84,71.25,70.29,70.39,4254200,60.30
2008-07-30,70.75,71.44,70.05,71.30,3860200,61.08
2008-07-29,69.77,70.57,69.55,70.49,3599600,60.39
2008-07-28,70.87,70.99,69.39,69.63,4832600,59.65
2008-07-25,71.53,71.90,70.23,70.95,4947500,60.78
2008-07-24,72.40,72.77,70.91,71.05,6515000,60.86
2008-07-23,70.47,71.06,70.06,70.80,4189600,60.65
2008-07-22,68.12,70.45,68.10,70.30,5804800,60.22
2008-07-21,69.36,69.70,67.92,68.73,3354600,58.88
2008-07-18,69.48,69.53,68.30,68.94,4473900,59.06
2008-07-17,69.22,69.58,67.54,69.45,5856300,59.49
2008-07-16,67.90,68.67,67.28,68.64,4636500,58.80
2008-07-15,68.61,68.67,67.26,67.69,8230000,57.99
2008-07-14,69.41,70.00,68.65,69.02,5117900,59.13
2008-07-11,68.27,69.38,67.76,68.72,6262400,58.87
2008-07-10,68.79,69.75,68.30,68.92,5286200,59.04
2008-07-09,70.10,71.21,68.56,68.64,6226600,58.80
2008-07-08,69.92,71.17,69.52,71.03,5163700,60.85
2008-07-07,69.89,70.88,69.28,69.85,4913300,59.84
2008-07-03,68.77,69.96,68.68,69.46,3083300,59.50
2008-07-02,70.18,70.18,68.48,68.48,4661200,58.66
2008-07-01,68.66,70.05,67.57,69.78,6353100,59.78
2008-06-30,69.48,69.69,68.61,69.59,5333800,59.61
2008-06-27,70.48,70.48,68.89,69.51,7481700,59.55
2008-06-26,72.29,72.30,70.24,70.26,7371800,60.19
2008-06-25,72.40,73.24,72.30,72.57,4846300,62.17
2008-06-24,72.84,73.46,72.40,72.43,4535200,62.05
2008-06-23,73.35,73.44,72.80,72.96,3004400,62.50
2008-06-20,74.00,74.00,72.62,73.02,7367800,62.55
2008-06-19,74.21,74.45,73.75,74.12,3544100,63.49
2008-06-18,74.64,75.23,74.18,74.30,3561400,63.65
2008-06-17,75.44,75.70,74.85,74.97,3561700,64.22
2008-06-16,75.76,76.12,75.09,75.20,4156500,64.42
2008-06-13,76.19,76.53,75.38,76.12,3915100,65.21
2008-06-12,75.50,76.42,75.25,75.55,3791600,64.72
2008-06-11,76.00,76.00,75.05,75.27,4905500,64.48
2008-06-10,75.13,76.29,75.13,76.00,2995500,65.11
2008-06-09,75.32,76.07,74.75,75.82,4402400,64.95
2008-06-06,76.73,77.02,74.85,74.86,5984400,64.13
2008-06-05,76.59,77.61,76.36,77.50,3805800,66.39
2008-06-04,76.17,77.41,75.80,76.36,4667800,65.41
2008-06-03,76.50,76.66,75.50,76.23,4848000,65.30
2008-06-02,77.41,77.49,75.80,76.25,3942600,65.32
2008-05-30,76.91,77.85,76.91,77.56,3486700,66.44
2008-05-29,76.60,78.20,76.60,77.76,3433100,66.61
2008-05-28,76.34,77.01,76.31,76.90,3681600,65.88
2008-05-27,75.73,76.74,75.56,76.17,2789000,65.25
2008-05-23,76.24,76.26,75.50,75.81,2879100,64.94
2008-05-22,76.37,76.81,75.87,76.64,3843200,65.65
2008-05-21,77.51,77.53,75.83,76.12,4429800,65.21
2008-05-20,79.04,79.06,77.08,77.53,5215400,65.99
2008-05-19,78.66,79.89,78.48,79.05,3141900,67.28
2008-05-16,77.99,78.82,77.46,78.66,4147600,66.95
2008-05-15,77.70,78.12,77.18,77.86,3473900,66.27
2008-05-14,77.68,78.63,77.18,77.73,2922700,66.16
2008-05-13,77.72,78.34,76.91,77.18,3407400,65.69
2008-05-12,76.67,77.67,75.95,77.67,3552100,66.11
2008-05-09,75.99,76.67,75.82,76.32,3871600,64.96
2008-05-08,77.12,77.36,76.47,76.95,3796000,65.49
2008-05-07,77.95,78.13,76.49,76.68,4089200,65.26
2008-05-06,77.44,77.87,76.75,77.76,2891400,66.18
2008-05-05,78.62,78.78,77.35,77.55,3845900,66.00
2008-05-02,78.44,79.45,78.22,78.55,3756600,66.86
2008-05-01,76.94,78.05,76.58,77.84,3783700,66.25
2008-04-30,77.00,78.24,76.85,76.90,4690900,65.45
2008-04-29,77.19,77.73,76.78,76.86,3612100,65.42
2008-04-28,77.60,77.98,76.88,77.13,5155000,65.65
2008-04-25,78.85,78.87,76.46,77.82,5551200,66.23
2008-04-24,81.19,81.19,77.55,79.13,6323400,67.35
2008-04-23,81.52,81.68,80.43,80.63,3623900,68.63
2008-04-22,82.15,82.20,80.53,81.18,2724400,69.09
2008-04-21,83.00,83.04,81.90,82.34,2907900,70.08
2008-04-18,81.84,83.22,81.17,82.90,4716600,70.56
2008-04-17,80.57,81.06,79.28,80.65,3207100,68.64
2008-04-16,79.35,81.19,79.12,80.69,5284800,68.68
2008-04-15,78.61,78.94,78.27,78.84,2672600,67.10
2008-04-14,78.29,79.04,77.71,78.26,4447800,66.61
2008-04-11,78.80,79.08,78.13,78.47,5613200,66.79
2008-04-10,79.69,80.91,79.45,80.35,3747300,68.39
2008-04-09,79.99,80.12,78.80,79.59,2967100,67.74
2008-04-08,79.50,80.26,79.48,79.88,3469400,67.99
2008-04-07,80.95,81.62,80.16,80.19,3081600,68.25
2008-04-04,80.30,81.07,79.42,80.52,2800700,68.53
2008-04-03,80.59,81.00,79.83,80.17,3280600,68.23
2008-04-02,81.24,81.58,80.59,80.91,2871700,68.86
2008-04-01,79.61,81.53,79.44,81.32,4813600,69.21
2008-03-31,78.06,79.48,78.06,79.15,3505600,67.37
2008-03-28,78.39,78.94,77.85,77.95,2006400,66.34
2008-03-27,78.80,79.11,77.86,77.86,3600200,66.27
2008-03-26,78.73,78.77,77.88,78.66,3700200,66.95
2008-03-25,78.83,79.25,78.27,78.98,3888700,67.22
2008-03-24,78.15,79.21,77.91,78.64,4342200,66.93
2008-03-20,78.50,79.34,77.46,77.98,6937300,66.37
2008-03-19,81.24,81.68,78.54,79.47,4450700,67.64
2008-03-18,79.84,80.95,79.02,80.95,4569000,68.90
2008-03-17,75.64,79.26,75.24,78.51,5050600,66.82
2008-03-14,79.72,79.72,76.62,77.53,4882800,65.99
2008-03-13,77.49,79.58,77.16,79.08,4292300,67.31
2008-03-12,77.97,79.44,77.97,78.42,3961900,66.75
2008-03-11,77.30,78.00,76.00,77.95,4377800,66.34
2008-03-10,76.73,77.11,75.28,75.48,4206300,64.24
2008-03-07,77.41,77.99,76.33,76.51,5199100,65.12
2008-03-06,78.70,79.24,77.89,77.95,4713900,66.34
2008-03-05,78.91,79.61,77.92,78.93,3866500,67.18
2008-03-04,77.92,78.73,77.49,78.41,4390000,66.74
2008-03-03,78.16,78.65,77.62,78.49,2425500,66.80
2008-02-29,79.65,79.65,78.19,78.40,3091300,66.73
2008-02-28,80.06,80.28,79.25,79.80,2701400,67.92
2008-02-27,80.68,81.15,80.09,80.48,2804800,68.50
2008-02-26,80.60,81.59,80.46,81.29,3177700,69.19
2008-02-25,79.56,81.04,79.09,81.00,2936600,68.94
2008-02-22,79.32,79.81,78.24,79.67,3490900,67.81
2008-02-21,80.06,80.65,78.68,78.96,4084000,67.20
2008-02-20,79.32,80.20,78.44,79.94,3242400,68.04
2008-02-19,80.25,80.86,79.56,79.85,3496500,67.54
2008-02-15,80.14,80.61,79.54,79.95,3632600,67.62
2008-02-14,81.24,81.65,80.20,80.29,2485700,67.91
2008-02-13,79.55,81.51,79.48,81.38,3780900,68.83
2008-02-12,79.61,79.84,78.60,79.10,3663800,66.90
2008-02-11,78.38,79.57,77.84,79.28,2097300,67.05
2008-02-08,78.85,79.19,77.82,78.56,2822000,66.45
2008-02-07,78.60,79.54,78.28,79.12,3484400,66.92
2008-02-06,79.47,79.94,78.81,79.18,3871100,66.97
2008-02-05,79.31,79.91,78.91,79.09,4802400,66.89
2008-02-04,81.23,81.50,80.49,80.57,3377400,68.15
2008-02-01,79.79,81.28,79.64,81.21,4739800,68.69
2008-01-31,77.33,80.00,77.04,79.65,5432200,67.37
2008-01-30,77.82,79.49,77.49,78.22,4583300,66.16
2008-01-29,77.80,78.68,76.20,78.02,5061700,65.99
2008-01-28,76.02,77.52,75.60,77.44,4611700,65.50
2008-01-25,76.82,76.82,75.07,75.51,3910200,63.87
2008-01-24,76.40,76.83,75.00,75.73,4805900,64.05
2008-01-23,73.55,76.23,72.05,76.10,7000800,64.36
2008-01-22,72.07,75.61,72.07,75.16,6573400,63.57
2008-01-18,75.47,76.44,74.06,74.91,7053200,63.36
2008-01-17,77.38,77.69,74.47,74.96,7093000,63.40
2008-01-16,76.83,78.58,76.83,77.30,4467500,65.38
2008-01-15,78.00,78.70,77.03,77.18,4206500,65.28
2008-01-14,78.13,78.64,77.50,78.50,2927600,66.39
2008-01-11,79.63,81.06,76.97,77.58,8414500,65.62
2008-01-10,79.75,80.71,79.02,80.21,6835800,67.84
2008-01-09,80.20,80.82,78.49,80.19,6422300,67.82
2008-01-08,81.35,82.07,80.10,80.21,5711200,67.84
2008-01-07,82.10,82.15,80.77,81.11,4223800,68.60
2008-01-04,82.00,82.66,81.55,81.76,3620300,69.15
2008-01-03,82.82,83.48,82.37,82.70,2724100,69.95
2008-01-02,84.24,84.76,82.23,82.71,4453700,69.96
2007-12-31,84.65,85.21,84.28,84.32,1740700,71.32
2007-12-28,86.12,86.12,84.37,85.09,2162700,71.97
2007-12-27,86.10,86.50,85.28,85.40,2278100,72.23
2007-12-26,86.97,86.97,85.75,86.07,2142300,72.80
2007-12-24,85.52,86.54,85.30,86.26,889500,72.96
2007-12-21,85.81,86.84,84.82,86.05,7031000,72.78
2007-12-20,84.79,85.32,83.85,84.49,3398600,71.46
2007-12-19,85.69,85.84,84.11,84.93,3733200,71.83
2007-12-18,86.21,86.31,85.03,85.85,3080500,72.61
2007-12-17,85.39,86.70,85.39,85.78,3731500,72.55
2007-12-14,86.12,87.58,85.88,85.93,3373200,72.68
2007-12-13,86.41,87.06,85.34,86.92,4294000,73.52
2007-12-12,88.10,88.70,85.97,86.66,7253900,73.30
2007-12-11,87.05,87.05,84.65,84.65,4310900,71.60
2007-12-10,86.26,87.15,86.26,86.74,3291900,73.36
2007-12-07,84.06,86.53,84.06,86.19,3709400,72.90
2007-12-06,83.73,85.00,83.56,84.82,2937500,71.74
2007-12-05,82.69,83.99,82.51,83.76,3255800,70.84
2007-12-04,81.88,82.94,81.60,82.09,3189000,69.43
2007-12-03,83.43,83.98,81.94,82.21,4272100,69.53
2007-11-30,84.44,84.94,82.38,83.26,5738700,70.42
2007-11-29,83.08,84.10,82.97,83.61,3226400,70.72
2007-11-28,82.57,83.80,82.04,83.41,4377400,70.55
2007-11-27,81.58,82.39,80.97,82.12,4319100,69.46
2007-11-26,82.92,82.95,80.89,81.00,4067600,68.51
2007-11-23,81.83,82.75,81.06,82.75,1726100,69.99
2007-11-21,81.60,82.50,81.24,81.24,4703300,68.71
2007-11-20,81.99,82.68,81.02,82.11,4429500,69.45
2007-11-19,81.22,82.34,81.04,81.70,5022900,68.70
2007-11-16,80.13,81.60,79.77,81.57,6464800,68.59
2007-11-15,80.05,80.76,79.32,79.65,4204000,66.97
2007-11-14,81.56,81.92,80.05,80.21,3663000,67.44
2007-11-13,80.05,81.32,79.24,81.23,5014600,68.30
2007-11-12,79.53,80.29,78.98,79.22,4726700,66.61
2007-11-09,79.98,81.50,79.18,79.51,9138500,66.85
2007-11-08,83.34,83.57,81.53,82.83,7583000,69.65
2007-11-07,85.30,85.30,83.27,83.27,4484700,70.02
2007-11-06,85.12,85.69,84.20,85.45,3328000,71.85
2007-11-05,84.94,85.34,83.84,85.05,3743800,71.51
2007-11-02,84.70,85.00,83.15,84.89,4917600,71.38
2007-11-01,86.07,86.28,83.88,83.90,4342500,70.55
2007-10-31,85.98,86.91,85.35,86.36,4638300,72.61
2007-10-30,85.95,86.23,85.32,85.79,2791700,72.13
2007-10-29,86.44,86.54,85.26,85.97,3650200,72.29
2007-10-26,86.48,86.48,85.59,86.13,2863100,72.42
2007-10-25,86.68,86.82,85.24,86.09,4088600,72.39
2007-10-24,85.92,86.14,84.40,86.10,5005700,72.39
2007-10-23,86.87,87.06,84.39,85.93,7482300,72.25
2007-10-22,85.35,86.71,84.08,86.28,8993900,72.55
2007-10-19,92.90,93.00,86.29,86.62,15248300,72.83
2007-10-18,94.28,95.36,93.23,94.73,2495900,79.65
2007-10-17,94.64,95.04,93.10,94.26,3415500,79.26
2007-10-16,94.43,94.60,93.51,93.98,2798700,79.02
2007-10-15,94.18,94.73,93.53,94.39,3028800,79.37
2007-10-12,94.67,94.90,93.70,94.17,2621200,79.18
2007-10-11,96.10,96.49,93.92,94.36,3679400,79.34
2007-10-10,95.12,97.00,95.12,95.82,2931600,80.57
2007-10-09,94.87,96.00,94.85,95.62,3458900,80.40
2007-10-08,95.75,95.95,95.01,95.41,2216800,80.22
2007-10-05,94.75,95.92,94.63,95.85,3760200,80.59
2007-10-04,94.50,94.89,94.02,94.25,2409400,79.25
2007-10-03,93.66,94.79,93.47,94.19,2833500,79.20
2007-10-02,94.35,94.88,93.59,93.89,3492900,78.94
2007-10-01,93.84,94.99,93.68,94.74,4186600,79.66
2007-09-28,93.98,93.98,93.09,93.58,3845600,78.68
2007-09-27,92.80,93.60,92.69,93.39,3255000,78.52
2007-09-26,92.17,92.94,91.77,92.54,3407300,77.81
2007-09-25,91.49,92.30,90.33,91.91,2409100,77.28
2007-09-24,91.60,92.74,91.50,91.81,3198200,77.20
2007-09-21,92.50,92.50,91.24,91.68,4976500,77.09
2007-09-20,91.23,92.30,91.10,91.44,3315400,76.88
2007-09-19,91.75,92.25,91.08,91.96,4796300,77.32
2007-09-18,89.25,91.76,89.25,91.66,4353300,77.07
2007-09-17,88.95,89.74,88.74,88.93,1894500,74.77
2007-09-14,88.66,89.47,88.45,89.02,2345100,74.85
2007-09-13,89.67,89.69,88.69,89.09,3090900,74.91
2007-09-12,88.56,89.77,88.31,89.08,3176200,74.90
2007-09-11,88.01,88.62,87.65,88.24,3369000,74.19
2007-09-10,89.13,89.87,87.21,87.82,5234100,73.84
2007-09-07,90.39,90.40,88.67,88.92,3581200,74.77
2007-09-06,90.26,91.04,90.08,90.63,2639200,76.20
2007-09-05,90.40,90.75,89.56,89.92,3231400,75.61
2007-09-04,90.96,91.50,89.90,91.15,3048300,76.64
2007-08-31,89.81,91.51,89.55,90.99,4933800,76.51
2007-08-30,88.40,89.99,88.08,89.36,3543900,75.14
2007-08-29,88.05,88.85,87.51,88.76,2763300,74.63
2007-08-28,88.59,89.49,87.59,87.62,3174800,73.67
2007-08-27,88.80,89.27,87.95,88.70,2182400,74.58
2007-08-24,88.50,89.15,88.00,89.15,2987400,74.96
2007-08-23,89.34,89.34,88.22,88.75,2714500,74.62
2007-08-22,88.52,89.58,88.05,89.07,3059800,74.89
2007-08-21,88.10,88.74,87.65,88.46,3081600,73.98
2007-08-20,87.55,88.84,87.40,88.27,3214900,73.82
2007-08-17,87.00,89.11,86.03,87.83,6135100,73.45
2007-08-16,83.21,86.28,83.21,85.40,6718500,71.42
2007-08-15,84.94,86.43,84.93,85.06,3913400,71.13
2007-08-14,86.27,86.76,85.39,85.76,3468500,71.72
2007-08-13,87.16,87.16,85.75,86.25,3204900,72.13
2007-08-10,86.36,86.69,84.76,85.97,5881900,71.89
2007-08-09,87.90,88.13,86.77,86.86,5069600,72.64
2007-08-08,87.90,88.57,86.99,88.15,4757100,73.72
2007-08-07,86.96,88.71,86.95,88.03,4512200,73.62
2007-08-06,87.70,88.37,86.61,87.77,5717800,73.40
2007-08-03,88.68,89.15,87.51,87.56,5021400,73.22
2007-08-02,89.06,89.46,88.40,89.12,3854600,74.53
2007-08-01,88.94,89.47,87.75,89.07,5677300,74.49
2007-07-31,89.46,90.48,88.78,88.92,5724600,74.36
2007-07-30,90.18,90.90,89.77,90.18,4845800,75.41
2007-07-27,90.40,92.00,90.05,90.05,6248700,75.31
2007-07-26,89.62,91.91,88.74,90.05,7577700,75.31
2007-07-25,90.24,90.29,88.04,89.62,5098100,74.95
2007-07-24,90.54,91.23,89.35,89.69,3644400,75.00
2007-07-23,90.61,91.42,90.35,90.87,2767300,75.99
2007-07-20,90.50,91.41,88.60,90.21,5109500,75.44
2007-07-19,91.80,91.95,90.41,91.17,2788400,76.24
2007-07-18,91.10,91.96,91.00,91.48,4352500,76.50
2007-07-17,91.44,91.68,90.59,91.08,2550100,76.17
2007-07-16,90.63,92.32,89.83,90.87,4584100,75.99
2007-07-13,89.58,90.24,89.40,90.22,3609800,75.45
2007-07-12,87.67,89.96,87.60,89.93,4195000,75.20
2007-07-11,87.22,88.27,87.07,87.88,2567600,73.49
2007-07-10,87.94,88.36,87.17,87.22,3430700,72.94
2007-07-09,87.97,88.57,87.90,88.11,2323600,73.68
2007-07-06,87.95,88.81,87.56,88.11,2009300,73.68
2007-07-05,87.68,88.40,87.38,87.76,1886000,73.39
2007-07-03,88.00,88.18,87.54,87.94,1053200,73.54
2007-07-02,87.29,88.00,87.13,88.00,2407400,73.59
2007-06-29,87.10,87.86,86.22,86.79,3322100,72.58
2007-06-28,87.00,87.27,86.49,86.85,2342400,72.63
2007-06-27,85.82,87.23,85.77,87.13,3255900,72.86
2007-06-26,86.49,87.00,85.90,86.08,3034400,71.99
2007-06-25,86.60,87.72,85.86,86.25,2879300,72.13
2007-06-22,86.56,87.41,86.13,86.43,4802200,72.28
2007-06-21,86.91,87.82,86.12,87.41,2723400,73.10
2007-06-20,87.97,88.30,86.99,87.08,2788200,72.82
2007-06-19,87.43,87.93,86.92,87.82,2348100,73.44
2007-06-18,87.68,88.03,86.82,87.62,2789900,73.27
2007-06-15,87.58,88.49,87.52,87.67,4520800,73.32
2007-06-14,87.07,87.87,86.92,87.42,2881200,73.11
2007-06-13,85.70,87.25,85.02,87.19,4541400,72.91
2007-06-12,85.30,85.71,84.40,85.04,3425800,71.12
2007-06-11,85.94,85.98,85.17,85.30,2923700,71.33
2007-06-08,84.88,86.00,84.55,85.94,3599500,71.87
2007-06-07,86.62,86.91,84.42,84.88,4791400,70.98
2007-06-06,87.47,87.47,86.29,86.62,3008200,72.44
2007-06-05,88.07,88.35,87.23,87.46,2529000,73.14
2007-06-04,88.43,88.43,87.56,88.07,2320000,73.65
2007-06-01,87.95,88.43,87.43,88.43,2852900,73.95
2007-05-31,87.93,88.46,87.63,87.96,3561400,73.56
2007-05-30,87.30,87.95,86.88,87.93,3607600,73.53
2007-05-29,87.17,87.72,86.25,87.31,3294000,73.01
2007-05-25,87.55,87.98,87.16,87.35,2793800,73.05
2007-05-24,87.62,89.03,87.03,87.15,4452600,72.88
2007-05-23,87.65,88.49,87.57,87.94,3393300,73.54
2007-05-22,87.06,88.05,87.04,87.78,3567500,73.41
2007-05-21,86.88,87.18,86.62,87.06,3580600,72.80
2007-05-18,86.93,87.32,86.80,86.90,3953400,72.67
2007-05-17,86.09,86.90,85.75,86.67,4186400,72.48
2007-05-16,86.48,86.48,84.91,86.01,3930600,71.93
2007-05-15,84.85,87.08,84.85,86.17,6580100,71.66
2007-05-14,85.30,85.58,84.42,84.83,3498200,70.54
2007-05-11,84.78,85.85,84.78,85.55,4106200,71.14
2007-05-10,85.00,85.36,84.38,84.65,3181300,70.40
2007-05-09,84.40,85.49,84.40,85.36,4050500,70.99
2007-05-08,84.42,84.94,84.15,84.78,3406800,70.50
2007-05-07,84.21,85.00,83.95,84.93,3646900,70.63
2007-05-04,83.90,84.35,83.69,84.21,2936100,70.03
2007-05-03,84.31,84.40,83.51,84.07,4850800,69.91
2007-05-02,83.40,84.75,83.20,84.42,5224600,70.20
2007-05-01,82.77,83.73,82.16,83.61,5560200,69.53
2007-04-30,81.56,83.25,80.88,82.77,6321800,68.83
2007-04-27,79.97,82.30,79.70,81.55,6776500,67.82
2007-04-26,80.31,81.09,79.23,80.45,14209100,66.90
2007-04-25,76.96,77.51,76.45,76.97,4650400,64.01
2007-04-24,77.14,77.35,76.51,77.00,3734100,64.03
2007-04-23,77.75,77.89,77.01,77.28,3573800,64.27
2007-04-20,77.96,78.50,77.54,77.75,4741300,64.66
2007-04-19,76.36,77.89,76.31,77.58,3557800,64.52
2007-04-18,77.34,77.36,76.75,77.08,2094800,64.10
2007-04-17,77.00,77.47,76.48,77.28,2381300,64.27
2007-04-16,76.91,77.32,76.71,77.16,2483600,64.17
2007-04-13,77.25,77.25,75.91,76.72,2453700,63.80
2007-04-12,76.29,76.92,75.95,76.71,2288100,63.79
2007-04-11,76.50,76.70,75.91,76.23,2793400,63.39
2007-04-10,76.88,77.00,76.42,76.50,2149800,63.62
2007-04-09,76.84,77.03,76.30,76.83,2127800,63.89
2007-04-05,77.03,77.03,76.36,76.75,2484700,63.83
2007-04-04,77.50,77.73,76.94,77.16,2595100,64.17
2007-04-03,76.53,77.61,76.47,77.46,3094800,64.42
2007-04-02,76.44,76.44,75.91,76.28,2414400,63.43
2007-03-30,75.98,77.04,75.67,76.43,3400500,63.56
2007-03-29,76.38,76.38,75.44,76.09,4233300,63.28
2007-03-28,76.74,77.17,76.18,76.38,3186300,63.52
2007-03-27,77.44,77.47,76.81,77.17,2692200,64.17
2007-03-26,77.66,77.67,76.94,77.38,3542100,64.35
2007-03-23,77.59,78.16,77.39,77.97,2780900,64.84
2007-03-22,77.09,78.00,76.91,77.78,4071900,64.68
2007-03-21,76.25,77.06,76.05,76.90,3086300,63.95
2007-03-20,76.49,76.50,76.04,76.38,2379600,63.52
2007-03-19,75.54,76.46,75.50,76.36,3200500,63.50
2007-03-16,76.23,76.26,75.15,75.28,5054500,62.60
2007-03-15,75.80,76.26,75.67,75.99,3930100,63.19
2007-03-14,74.78,75.84,74.42,75.80,4612800,63.04
2007-03-13,74.75,75.50,74.65,74.77,4431500,62.18
2007-03-12,74.61,75.29,74.60,75.17,3220100,62.51
2007-03-09,74.59,75.31,74.54,74.73,3346200,62.15
2007-03-08,74.03,75.15,74.00,74.52,3815900,61.97
2007-03-07,73.50,74.19,73.17,73.80,3775600,61.37
2007-03-06,73.62,73.69,73.00,73.47,4308500,61.10
2007-03-05,73.01,73.77,72.90,73.17,4905700,60.85
2007-03-02,73.25,73.79,73.00,73.01,5008700,60.72
2007-03-01,74.00,74.01,73.02,73.66,4470900,61.26
2007-02-28,74.25,75.00,73.53,74.08,5290200,61.61
2007-02-27,76.13,76.18,73.52,74.50,5865700,61.95
2007-02-26,76.45,76.82,75.64,76.12,2594000,63.30
2007-02-23,76.49,76.57,75.95,76.21,1987400,63.38
2007-02-22,76.25,76.75,76.13,76.35,2795600,63.49
2007-02-21,76.10,76.58,75.90,76.23,2820400,63.39
2007-02-20,76.50,76.75,75.94,76.58,3962200,63.28
2007-02-16,76.91,77.43,76.41,76.84,3794200,63.50
2007-02-15,76.90,77.38,76.60,76.91,3627500,63.56
2007-02-14,76.43,76.92,76.28,76.84,3888100,63.50
2007-02-13,76.00,76.90,75.75,76.43,7193200,63.16
2007-02-12,74.55,74.89,74.40,74.59,2972100,61.64
2007-02-09,74.64,75.00,74.25,74.54,4022300,61.60
2007-02-08,74.88,74.89,74.11,74.64,3840200,61.68
2007-02-07,74.30,74.99,74.28,74.65,4051900,61.69
2007-02-06,73.91,74.50,73.82,74.27,4872900,61.38
2007-02-05,74.08,74.27,73.70,73.93,6350000,61.10
2007-02-02,73.87,74.07,73.72,73.87,5584500,61.05
2007-02-01,74.75,74.83,73.71,73.99,6501600,61.14
2007-01-31,74.21,74.68,73.09,74.30,9284500,61.40
2007-01-30,74.92,76.18,74.24,74.70,15657900,61.73
2007-01-29,78.54,79.20,78.25,78.96,3420300,65.25
2007-01-26,78.97,79.19,78.23,78.69,1996300,65.03
2007-01-25,79.56,79.75,78.83,79.01,2888700,65.29
2007-01-24,78.85,79.66,78.85,79.49,1772700,65.69
2007-01-23,78.71,79.15,78.33,78.85,1949500,65.16
2007-01-22,79.25,79.29,78.13,78.49,2139300,64.86
2007-01-19,79.09,79.88,78.82,79.25,2912100,65.49
2007-01-18,78.71,79.70,78.60,78.81,1963000,65.13
2007-01-17,79.33,79.51,78.75,78.91,2711300,65.21
2007-01-16,79.48,79.62,78.92,79.56,2526600,65.75
2007-01-12,78.41,79.50,78.22,79.36,2582200,65.58
2007-01-11,78.05,79.03,77.88,78.65,2372500,65.00
2007-01-10,77.31,77.96,77.04,77.85,1787500,64.33
2007-01-09,78.00,78.23,77.44,77.68,1896800,64.19
2007-01-08,77.42,78.04,76.97,77.59,2434500,64.12
2007-01-05,77.89,77.90,77.01,77.42,2765200,63.98
2007-01-04,78.40,78.41,77.45,77.95,2968400,64.42
2007-01-03,77.53,78.85,77.38,78.26,3781500,64.67
2006-12-29,78.10,78.49,77.82,77.93,1826600,64.40
2006-12-28,78.50,78.89,78.02,78.16,1686500,64.59
2006-12-27,78.33,78.68,78.15,78.47,1750300,64.85
2006-12-26,78.16,78.36,77.50,78.03,1963600,64.48
2006-12-22,78.82,79.01,78.34,78.35,1660800,64.75
2006-12-21,79.00,79.31,78.75,78.81,2368300,65.13
2006-12-20,78.30,79.20,78.15,78.83,2305300,65.14
2006-12-19,78.27,78.46,77.73,78.11,2844800,64.55
2006-12-18,78.35,79.01,78.23,78.35,2328100,64.75
2006-12-15,79.67,79.67,78.19,78.31,6215700,64.71
2006-12-14,79.40,79.45,78.50,78.77,3219800,65.09
2006-12-13,79.50,79.62,78.97,79.25,2561800,65.49
2006-12-12,78.84,79.40,78.23,79.01,4008300,65.29
2006-12-11,78.76,79.21,78.09,78.85,2811500,65.16
2006-12-08,78.72,78.72,77.35,78.56,5472500,64.92
2006-12-07,79.77,79.97,79.18,79.56,2516200,65.75
2006-12-06,80.55,80.66,79.70,79.80,2357400,65.95
2006-12-05,79.65,81.05,79.65,80.56,2734700,66.57
2006-12-04,80.42,81.29,80.01,80.89,2896700,66.85
2006-12-01,81.55,81.55,78.92,79.98,5475200,66.09
2006-11-30,80.88,81.80,80.57,81.46,2355000,67.32
2006-11-29,80.60,81.20,80.52,80.98,1779600,66.92
2006-11-28,79.90,80.70,79.75,80.41,2150700,66.45
2006-11-27,81.10,81.15,80.06,80.23,2833900,66.30
2006-11-24,80.86,81.50,80.75,81.15,694500,67.06
2006-11-22,81.60,81.77,80.86,81.47,1885100,67.33
2006-11-21,80.92,81.95,80.60,81.64,2842200,67.47
2006-11-20,81.40,81.50,80.83,81.38,1875200,66.87
2006-11-17,80.49,81.75,80.26,81.40,3049100,66.89
2006-11-16,80.25,80.94,80.13,80.29,1937200,65.98
2006-11-15,79.84,81.14,79.84,80.71,3439100,66.32
2006-11-14,79.50,80.20,78.84,80.09,2937900,65.81
2006-11-13,79.05,79.77,78.84,79.50,2574900,65.33
2006-11-10,79.15,79.36,78.68,79.19,2088900,65.07
2006-11-09,79.55,79.88,78.58,78.90,3261600,64.83
2006-11-08,79.44,79.75,79.00,79.42,1731500,65.26
2006-11-07,79.51,80.14,79.27,79.42,2122200,65.26
2006-11-06,78.90,79.77,78.58,79.59,2133900,65.40
