Date,Open,High,Low,Close,Volume,Adj Close
2008-08-21,113.76,115.39,112.55,115.04,2238000,92.53
2008-08-20,115.81,115.81,113.02,114.25,4144800,91.89
2008-08-19,114.51,116.05,114.51,115.74,2727800,93.09
2008-08-18,116.73,116.73,114.02,115.25,3169000,92.70
2008-08-15,113.38,117.04,113.29,116.67,4938500,93.84
2008-08-14,112.55,113.72,111.02,113.18,2956800,91.03
2008-08-13,113.95,114.80,111.09,112.97,4197800,90.86
2008-08-12,112.82,114.41,111.98,114.39,4132400,92.00
2008-08-11,111.74,113.01,110.07,112.88,4045000,90.79
2008-08-08,107.95,112.06,107.60,112.06,3093700,90.13
2008-08-07,106.91,108.60,106.50,108.29,2253900,87.10
2008-08-06,107.90,107.98,106.16,107.39,2564900,86.37
2008-08-05,105.49,108.13,105.06,108.10,2648700,86.94
2008-08-04,104.00,105.75,103.73,104.60,1271200,84.13
2008-08-01,104.50,105.15,102.86,103.97,1688200,83.62
2008-07-31,103.68,105.75,103.40,104.33,1976300,83.91
2008-07-30,104.39,106.38,103.39,104.13,2264300,83.75
2008-07-29,102.78,104.50,102.78,103.92,1929300,83.58
2008-07-28,104.60,105.49,103.05,103.35,2653300,83.12
2008-07-25,105.54,105.80,104.50,104.62,1685400,84.15
2008-07-24,106.89,106.89,104.44,104.75,2716500,84.25
2008-07-23,103.90,107.43,103.42,106.84,2863500,85.93
2008-07-22,100.83,104.93,100.83,103.88,4131500,83.55
2008-07-21,100.82,102.34,100.40,101.59,2621600,81.71
2008-07-18,100.24,101.39,99.74,100.99,2327400,81.23
2008-07-17,100.81,101.48,98.01,100.26,3685900,80.64
2008-07-16,101.25,102.05,98.73,100.74,4298300,81.02
2008-07-15,101.38,102.74,100.78,101.65,3040800,81.76
2008-07-14,103.51,103.51,100.62,101.99,2145400,82.03
2008-07-11,102.54,103.73,101.50,102.68,2932900,82.59
2008-07-10,102.31,103.64,101.77,103.51,2665800,83.25
2008-07-09,104.13,104.13,102.31,102.31,2873900,82.29
2008-07-08,102.72,104.27,102.26,103.81,3712900,83.49
2008-07-07,101.71,103.66,101.37,102.62,3525100,82.54
2008-07-03,100.94,101.88,100.76,101.48,1658900,81.62
2008-07-02,101.55,102.28,100.07,100.30,1956100,80.67
2008-07-01,99.02,101.49,98.91,101.09,2881100,81.31
2008-06-30,99.65,99.75,97.80,98.66,3720500,79.35
2008-06-27,99.80,100.77,99.37,99.62,3265600,80.12
2008-06-26,103.24,103.61,99.50,99.50,2699800,80.03
2008-06-25,104.12,105.00,103.70,103.83,2661800,83.51
2008-06-24,103.55,104.84,103.55,103.94,1844500,83.60
2008-06-23,102.70,104.34,102.04,104.13,2122400,83.75
2008-06-20,102.98,103.34,101.24,102.07,2148400,82.09
2008-06-19,101.44,103.91,100.75,103.34,1829300,83.12
2008-06-18,101.15,102.44,100.72,100.96,1456900,81.20
2008-06-17,102.55,103.40,101.39,101.59,1437400,81.71
2008-06-16,102.40,103.79,102.31,102.55,1949100,82.48
2008-06-13,103.50,104.12,102.76,104.07,1962000,83.70
2008-06-12,102.99,105.37,102.69,102.79,1963000,82.67
2008-06-11,102.56,103.97,102.47,102.69,1794500,82.59
2008-06-10,102.12,104.05,101.67,102.98,1921000,82.83
2008-06-09,104.38,104.38,101.75,102.65,2801800,82.56
2008-06-06,106.98,106.98,103.70,103.75,3129900,83.45
2008-06-05,108.46,108.49,106.53,107.67,2505000,86.60
2008-06-04,107.32,109.09,107.32,108.49,1696100,87.26
2008-06-03,109.75,109.75,107.29,107.83,2360300,86.73
2008-06-02,109.23,109.87,108.09,109.16,1755200,87.80
2008-05-30,108.72,109.88,108.42,109.44,1804100,88.02
2008-05-29,107.70,108.91,106.32,108.61,1921700,87.35
2008-05-28,107.29,108.21,106.94,107.69,1639400,86.28
2008-05-27,107.27,108.43,106.79,107.35,998800,86.00
2008-05-23,107.25,108.67,106.95,107.42,1331100,86.06
2008-05-22,106.89,107.70,106.60,107.09,1173300,85.80
2008-05-21,109.08,109.99,106.82,106.95,1496600,85.68
2008-05-20,109.63,109.97,108.33,109.09,1489700,87.40
2008-05-19,108.98,110.60,108.50,109.94,1726200,88.08
2008-05-16,109.51,109.65,108.09,109.16,1778900,87.45
2008-05-15,108.98,109.23,108.08,109.06,1420400,87.37
2008-05-14,108.70,110.00,108.50,108.71,1853800,87.09
2008-05-13,107.23,108.66,107.23,108.50,1742200,86.93
2008-05-12,105.84,107.05,105.53,106.97,1101000,85.70
2008-05-09,105.50,106.28,104.94,105.84,950400,84.79
2008-05-08,106.11,106.55,105.31,105.84,1300500,84.79
2008-05-07,106.38,107.18,105.01,105.92,2051700,84.86
2008-05-06,106.23,106.95,105.70,106.53,1334000,85.35
2008-05-05,106.46,107.89,106.07,106.62,1691400,85.42
2008-05-02,108.45,108.45,105.78,106.93,1729200,85.67
2008-05-01,105.76,107.83,105.76,107.72,1428300,86.30
2008-04-30,106.15,107.29,105.59,106.04,1572100,84.95
2008-04-29,106.31,107.08,105.55,105.89,1500700,84.83
2008-04-28,107.01,108.31,106.41,106.65,1562500,85.44
2008-04-25,106.89,107.98,106.19,107.63,1202100,86.23
2008-04-24,107.17,107.53,105.87,106.60,1681200,85.40
2008-04-23,103.99,108.00,103.79,107.88,2638100,86.43
2008-04-22,103.88,105.25,103.18,103.79,2116300,83.15
2008-04-21,106.16,106.60,104.81,106.57,1481200,85.38
2008-04-18,105.69,106.46,105.09,106.24,1714800,85.12
2008-04-17,104.14,105.15,104.00,104.36,1303700,83.61
2008-04-16,103.12,104.65,103.00,104.65,2064900,83.84
2008-04-15,104.18,104.18,101.91,103.11,1956000,82.61
2008-04-14,102.77,104.08,102.77,103.32,1305400,82.78
2008-04-11,102.45,103.70,101.88,103.01,1492200,82.53
2008-04-10,103.32,103.32,102.35,102.81,1258000,82.37
2008-04-09,103.40,104.21,102.56,103.11,1531000,82.61
2008-04-08,102.25,104.14,102.25,103.49,2658400,82.91
2008-04-07,101.58,102.83,101.07,102.25,2555300,81.92
2008-04-04,99.54,101.34,99.00,100.81,2384800,80.76
2008-04-03,99.81,100.12,98.50,99.03,3389500,79.34
2008-04-02,101.22,102.00,100.03,100.21,2501500,80.28
2008-04-01,99.96,101.51,99.28,101.33,2040000,81.18
2008-03-31,100.34,100.61,98.44,99.30,2439400,79.56
2008-03-28,100.38,100.89,99.76,100.18,1552200,80.26
2008-03-27,101.60,101.60,99.90,100.04,1336600,80.15
2008-03-26,101.67,101.67,100.56,101.23,1361300,81.10
2008-03-25,101.27,102.29,100.00,102.00,1363800,81.72
2008-03-24,100.26,101.31,99.77,100.78,1710900,80.74
2008-03-20,100.85,101.85,98.45,100.05,3444100,80.16
2008-03-19,101.84,103.25,100.71,100.71,2353200,80.68
2008-03-18,101.75,101.75,99.91,101.55,3538000,81.36
2008-03-17,98.35,101.11,98.35,100.05,3285300,80.16
2008-03-14,101.98,102.68,99.01,100.54,2891700,80.55
2008-03-13,99.55,101.40,98.50,101.11,2132700,81.01
2008-03-12,102.00,102.18,100.12,100.45,1985300,80.48
2008-03-11,100.06,101.70,99.37,101.66,3281800,81.45
2008-03-10,102.29,103.01,100.15,100.32,2369800,80.37
2008-03-07,103.13,104.60,102.77,103.18,1736300,82.66
2008-03-06,103.40,104.93,103.40,104.15,1927600,83.44
2008-03-05,103.60,104.90,102.89,104.71,2059400,83.89
2008-03-04,102.60,104.09,102.13,103.72,1872900,83.10
2008-03-03,103.27,104.00,102.41,104.00,1731000,83.32
2008-02-29,104.00,104.33,102.87,103.20,1958900,82.68
2008-02-28,104.65,105.80,103.65,105.16,1833500,84.25
2008-02-27,105.40,106.72,105.11,105.36,1693800,84.07
2008-02-26,105.90,106.45,105.33,105.95,1712800,84.54
2008-02-25,105.39,106.64,104.28,106.63,1749500,85.09
2008-02-22,105.27,105.51,103.17,105.12,1678600,83.88
2008-02-21,107.24,107.94,104.74,105.00,2958700,83.79
2008-02-20,106.61,107.32,105.85,107.07,1270300,85.44
2008-02-19,106.76,108.00,105.81,107.34,1814800,85.65
2008-02-15,107.07,107.52,105.00,105.76,2095600,84.39
2008-02-14,108.74,109.50,106.60,107.10,1293300,85.46
2008-02-13,107.21,109.15,107.01,108.87,1871400,86.87
2008-02-12,108.06,108.06,106.60,107.21,2208900,85.55
2008-02-11,105.54,107.79,105.53,107.61,1583300,85.87
2008-02-08,105.82,106.26,104.76,105.76,1725800,84.39
2008-02-07,104.95,106.94,104.62,105.83,2981000,84.45
2008-02-06,108.72,108.72,105.18,105.60,2369400,84.27
2008-02-05,109.35,109.66,107.14,107.77,2364800,86.00
2008-02-04,108.15,110.15,106.01,109.78,2666700,87.60
2008-02-01,108.17,109.80,106.87,108.12,2658200,86.28
2008-01-31,105.31,108.35,104.60,107.92,2894100,86.12
2008-01-30,106.92,108.45,106.27,106.53,2171900,85.01
2008-01-29,107.02,107.47,105.90,106.44,1992000,84.94
2008-01-28,105.43,107.05,105.43,106.87,2832200,85.28
2008-01-25,107.07,107.07,104.97,105.49,3280100,84.18
2008-01-24,102.74,106.81,102.11,105.90,3713600,84.50
2008-01-23,98.31,102.04,97.06,101.69,3977200,81.15
2008-01-22,97.01,102.18,90.44,101.02,4440500,80.61
2008-01-18,102.65,104.33,101.07,101.88,3291200,81.30
2008-01-17,105.97,107.12,101.93,102.15,3592600,81.51
2008-01-16,106.11,107.10,105.16,105.86,3042400,84.47
2008-01-15,106.97,108.63,106.38,106.81,3033600,85.23
2008-01-14,110.12,110.12,107.15,108.09,2724500,86.25
2008-01-11,107.58,110.25,107.50,109.46,3117000,87.35
2008-01-10,107.93,109.88,107.32,108.54,2639600,86.61
2008-01-09,106.88,108.77,106.42,108.53,2602400,86.60
2008-01-08,106.26,108.21,106.17,106.30,3160500,84.82
2008-01-07,107.36,107.94,104.93,106.26,2749500,84.79
2008-01-04,107.23,107.37,105.63,106.50,2319100,84.98
2008-01-03,105.49,108.81,104.71,107.93,2435800,86.12
2008-01-02,105.77,107.20,104.94,105.35,2753000,84.07
2007-12-31,106.31,107.25,105.26,105.26,1329500,83.99
2007-12-28,107.56,108.84,106.35,106.78,1488800,85.21
2007-12-27,109.30,109.43,107.54,107.72,1208500,85.96
2007-12-26,111.00,111.46,108.90,109.53,981900,87.40
2007-12-24,110.01,111.68,110.01,111.28,456800,88.80
2007-12-21,108.76,110.53,108.36,110.48,2314700,88.16
2007-12-20,108.82,108.82,106.33,107.72,1835200,85.96
2007-12-19,108.94,108.94,107.03,108.25,2375900,86.38
2007-12-18,109.48,110.21,107.50,108.18,2604000,86.32
2007-12-17,109.78,110.74,108.78,108.91,2100100,86.91
2007-12-14,108.50,111.13,108.30,110.48,1957600,88.16
2007-12-13,107.74,109.78,107.74,109.29,1717300,87.21
2007-12-12,108.01,109.70,107.32,108.31,3086500,86.43
2007-12-11,110.79,111.50,107.53,107.76,1833500,85.99
2007-12-10,111.54,111.54,109.82,110.72,1250200,88.35
2007-12-07,110.35,111.36,109.75,111.01,1457000,88.58
2007-12-06,109.10,110.52,107.78,110.37,2072300,88.07
2007-12-05,109.91,111.25,108.81,109.14,1886000,87.09
2007-12-04,109.34,110.71,108.96,109.12,2065200,87.07
2007-12-03,111.45,111.93,109.77,109.78,2252500,87.60
2007-11-30,113.12,113.50,110.13,110.67,2282900,88.31
2007-11-29,110.65,112.93,109.91,112.00,2075700,89.37
2007-11-28,109.27,111.56,108.00,111.23,2461700,88.42
2007-11-27,108.51,109.80,107.22,108.24,2871300,86.05
2007-11-26,110.79,112.04,107.80,108.17,1939400,85.99
2007-11-23,108.78,111.09,108.17,111.01,850800,88.25
2007-11-21,109.18,109.73,108.28,108.28,2295900,86.08
2007-11-20,111.30,111.70,108.26,109.87,3031700,87.34
2007-11-19,110.45,112.51,110.45,111.23,3037400,88.42
2007-11-16,113.00,113.00,110.04,111.37,2274500,88.53
2007-11-15,111.68,112.50,110.81,112.08,2405600,89.10
2007-11-14,113.00,113.00,110.82,111.90,3076500,88.96
2007-11-13,109.09,112.34,108.99,112.25,3200500,89.23
2007-11-12,109.38,110.38,107.65,108.73,2574800,86.44
2007-11-09,105.98,110.74,105.98,109.35,3166100,86.93
2007-11-08,107.10,108.89,105.87,107.18,2773900,85.20
2007-11-07,109.64,110.08,107.90,108.08,1996500,85.92
2007-11-06,109.42,109.99,107.79,109.45,2176000,87.01
2007-11-05,108.00,110.72,108.00,109.40,1787400,86.97
2007-11-02,110.06,110.85,108.78,110.12,1690300,87.54
2007-11-01,109.00,110.51,108.55,108.83,1893900,86.51
2007-10-31,108.83,110.28,107.75,110.04,2746700,87.48
2007-10-30,109.01,110.06,107.86,108.24,1720200,86.05
2007-10-29,108.12,109.74,108.10,109.24,1367700,86.84
2007-10-26,110.60,111.10,107.50,108.61,2089000,86.34
2007-10-25,108.40,111.00,107.75,110.15,2771500,87.56
2007-10-24,106.16,108.90,103.33,108.02,2437500,85.87
2007-10-23,107.76,108.39,106.18,106.97,2459500,85.04
2007-10-22,105.40,107.81,103.64,107.24,2408200,85.25
2007-10-19,108.46,108.99,106.00,106.16,2921100,84.39
2007-10-18,109.87,111.04,108.21,109.01,1758900,86.66
2007-10-17,111.68,111.68,108.57,109.93,2032300,87.39
2007-10-16,110.88,111.00,109.57,110.68,1689200,87.99
2007-10-15,111.97,112.11,109.57,110.70,1562700,88.00
2007-10-12,111.87,112.06,110.76,111.67,1729100,88.77
2007-10-11,111.60,113.74,111.44,111.88,2600700,88.94
2007-10-10,110.97,112.00,109.85,110.74,3252300,88.03
2007-10-09,109.17,111.76,109.01,111.40,2812900,88.56
2007-10-08,108.40,109.57,108.02,109.00,1342100,86.65
2007-10-05,109.75,109.99,108.30,108.70,1841000,86.41
2007-10-04,107.55,109.90,107.05,109.00,2640800,86.65
2007-10-03,107.11,107.48,106.64,106.95,1833200,85.02
2007-10-02,109.01,110.31,107.33,107.79,3313400,85.69
2007-10-01,108.15,109.86,108.06,108.74,3328300,86.44
2007-09-28,106.85,108.75,106.49,108.49,2847300,86.24
2007-09-27,105.59,106.89,103.81,106.79,4207100,84.89
2007-09-26,105.11,107.00,104.42,105.72,3564200,84.04
2007-09-25,102.30,105.12,102.28,104.96,2604900,83.44
2007-09-24,103.81,104.01,102.09,102.35,2102300,81.36
2007-09-21,101.99,103.47,101.04,103.20,2877000,82.04
2007-09-20,100.99,101.89,100.69,101.04,1660100,80.32
2007-09-19,101.86,103.39,100.83,101.19,2272100,80.44
2007-09-18,100.95,102.16,100.28,102.10,2286400,81.16
2007-09-17,100.34,101.23,99.07,99.41,2619900,79.03
2007-09-14,99.23,101.57,98.73,101.34,2251300,80.56
2007-09-13,98.65,100.16,98.37,99.64,2229500,79.21
2007-09-12,97.70,98.87,97.00,97.62,1628500,77.60
2007-09-11,97.88,98.53,94.97,97.99,1663200,77.90
2007-09-10,96.90,98.40,96.71,97.51,1707900,77.52
2007-09-07,97.50,98.25,96.47,96.64,2133300,76.82
2007-09-06,98.86,99.23,97.81,98.39,1436300,78.22
2007-09-05,98.56,99.24,97.39,98.87,2132500,78.60
2007-09-04,99.25,99.25,97.61,98.82,1787500,78.56
2007-08-31,99.78,100.33,98.98,99.14,1439100,78.81
2007-08-30,99.71,99.71,98.35,98.65,1758200,78.42
2007-08-29,98.61,99.78,98.51,99.71,2146300,78.99
2007-08-28,102.14,102.14,97.74,97.79,4124500,77.47
2007-08-27,99.50,102.50,99.12,102.41,2416900,81.13
2007-08-24,97.34,100.02,97.15,100.02,1834600,79.23
2007-08-23,98.00,98.75,96.28,96.93,1667100,76.78
2007-08-22,95.31,98.26,95.31,97.79,2522200,77.47
2007-08-21,95.10,96.61,94.85,95.51,1493600,75.66
2007-08-20,96.00,96.97,94.84,96.20,1548300,76.21
2007-08-17,98.48,98.48,95.28,96.22,2729200,76.22
2007-08-16,93.61,96.15,92.69,95.50,4047400,75.65
2007-08-15,96.75,97.17,94.65,94.83,2378100,75.12
2007-08-14,98.08,98.33,95.51,96.06,2764000,76.10
2007-08-13,95.64,99.45,95.64,98.00,3994400,77.63
2007-08-10,90.32,95.93,88.86,94.31,6694000,74.71
2007-08-09,94.50,95.60,91.19,91.36,7594900,72.37
2007-08-08,98.52,98.69,93.68,94.67,5364800,74.99
2007-08-07,100.20,100.25,97.65,98.26,3053000,77.84
2007-08-06,99.91,101.13,99.38,100.85,1937400,79.89
2007-08-03,101.68,102.61,99.37,99.37,2296500,78.72
2007-08-02,102.00,102.76,101.18,102.38,3131500,81.10
2007-08-01,98.87,102.40,98.55,101.70,2775000,80.56
2007-07-31,101.50,102.16,98.48,98.48,2841100,78.01
2007-07-30,100.10,101.63,99.77,100.50,3175300,79.61
2007-07-27,100.38,101.12,99.27,99.28,2364600,78.65
2007-07-26,102.39,104.20,99.35,100.58,6121400,79.68
2007-07-25,104.23,104.69,100.26,101.90,4656600,80.72
2007-07-24,102.00,107.33,100.42,103.09,8506200,81.66
2007-07-23,98.68,99.90,98.28,99.52,1685500,78.84
2007-07-20,98.14,99.17,97.28,97.89,1721500,77.54
2007-07-19,98.85,99.18,98.55,98.98,1559400,78.41
2007-07-18,98.33,98.77,96.90,98.49,2072300,78.02
2007-07-17,96.48,99.14,96.21,98.56,1910000,78.08
2007-07-16,96.80,97.02,96.12,96.80,1299200,76.68
2007-07-13,97.50,97.69,96.60,97.34,1281600,77.11
2007-07-12,95.40,97.39,94.59,97.39,1931200,77.15
2007-07-11,94.21,95.16,94.11,94.59,1339800,74.93
2007-07-10,96.35,96.50,94.18,94.18,2076500,74.61
2007-07-09,96.43,97.59,96.43,96.96,1148800,76.81
2007-07-06,96.60,96.96,96.25,96.63,1174900,76.55
2007-07-05,95.85,97.06,95.53,96.70,1857800,76.60
2007-07-03,95.33,95.87,94.97,95.47,672200,75.63
2007-07-02,94.67,95.38,94.12,94.66,1628400,74.99
2007-06-29,93.60,94.99,93.45,94.13,2071800,74.57
2007-06-28,93.58,94.30,93.06,93.40,2249900,73.99
2007-06-27,93.55,94.75,93.38,94.42,1594200,74.80
2007-06-26,94.42,94.90,93.72,94.19,2119600,74.61
2007-06-25,93.77,94.33,93.32,94.02,1918700,74.48
2007-06-22,94.93,95.00,93.14,93.39,2308600,73.98
2007-06-21,94.85,95.35,94.65,95.09,2235700,75.33
2007-06-20,96.80,97.06,95.00,95.09,1665800,75.33
2007-06-19,95.14,96.99,95.14,96.80,1903400,76.68
2007-06-18,97.10,97.42,95.21,95.32,1576300,75.51
2007-06-15,97.55,97.79,96.34,96.55,1865900,76.48
2007-06-14,95.90,97.46,95.12,97.21,1892800,77.01
2007-06-13,95.40,95.57,94.54,95.54,2548300,75.68
2007-06-12,95.80,95.94,95.17,95.25,1782300,75.45
2007-06-11,97.00,97.06,96.12,96.25,1440100,76.25
2007-06-08,95.39,96.89,95.02,96.89,1802900,76.75
2007-06-07,97.54,99.35,95.25,95.25,2227800,75.45
2007-06-06,96.19,96.99,95.95,96.65,2556000,76.56
2007-06-05,96.70,96.70,95.11,96.20,2224900,76.21
2007-06-04,96.98,97.41,96.85,97.20,1076400,77.00
2007-06-01,98.23,98.60,97.09,97.43,1559200,77.18
2007-05-31,98.62,98.62,97.21,98.10,1589800,77.71
2007-05-30,98.30,98.56,96.86,98.22,1922000,77.81
2007-05-29,97.02,98.43,96.85,98.30,2082900,77.59
2007-05-25,96.18,97.92,96.18,97.01,2182800,76.57
2007-05-24,94.75,96.63,94.55,96.21,4232500,75.94
2007-05-23,94.21,94.89,94.09,94.36,3215000,74.48
2007-05-22,97.71,97.71,94.00,94.22,4822300,74.37
2007-05-21,97.81,99.37,97.80,98.79,1883400,77.98
2007-05-18,98.60,98.66,97.93,98.16,1363200,77.48
2007-05-17,99.30,99.47,98.36,98.45,1381800,77.71
2007-05-16,99.79,100.10,99.22,99.64,1537300,78.65
2007-05-15,99.20,100.05,99.08,99.51,2365300,78.55
2007-05-14,98.68,99.25,98.30,99.20,1349000,78.30
2007-05-11,98.66,99.50,98.45,98.84,1460400,78.02
2007-05-10,98.70,99.47,98.41,98.60,2169100,77.83
2007-05-09,98.21,99.00,97.80,98.76,1489600,77.96
2007-05-08,97.76,98.37,97.12,98.22,1509700,77.53
2007-05-07,97.00,98.17,96.92,98.07,1696100,77.41
2007-05-04,96.75,97.00,96.23,96.64,949600,76.28
2007-05-03,96.48,96.48,96.05,96.40,1296800,76.09
2007-05-02,96.46,97.00,96.00,96.07,1623900,75.83
2007-05-01,96.40,96.53,95.67,96.23,1602500,75.96
2007-04-30,96.50,97.16,95.99,96.14,2262600,75.89
2007-04-27,93.81,96.90,93.75,96.69,2798700,76.32
2007-04-26,95.05,95.25,93.19,93.50,3251200,73.80
2007-04-25,94.82,95.85,94.00,95.50,3758100,75.38
2007-04-24,98.34,98.34,93.69,94.82,4301300,74.85
2007-04-23,95.42,97.88,95.42,97.07,2219600,76.62
2007-04-20,95.99,96.25,95.37,95.40,2975100,75.30
2007-04-19,96.95,96.95,95.34,95.63,1539200,75.48
2007-04-18,95.56,96.77,95.48,96.37,1376000,76.07
2007-04-17,95.99,96.22,95.65,95.96,1526000,75.75
2007-04-16,96.34,96.53,95.82,96.00,1671200,75.78
2007-04-13,96.16,96.35,95.62,96.24,1513400,75.97
2007-04-12,96.00,96.75,95.65,96.16,2063300,75.90
2007-04-11,98.21,98.34,96.40,96.61,1838600,76.26
2007-04-10,98.40,98.64,97.75,98.05,787800,77.39
2007-04-09,96.99,98.18,96.87,98.03,1135200,77.38
2007-04-05,96.75,97.04,96.51,96.71,1653600,76.34
2007-04-04,97.51,97.71,96.88,97.05,1718300,76.61
2007-04-03,97.24,97.60,96.97,97.28,2212700,76.79
2007-04-02,97.35,97.49,96.34,96.93,1855100,76.51
2007-03-30,98.34,98.81,96.72,97.02,1799300,76.58
2007-03-29,97.91,98.49,97.59,98.10,1338100,77.43
2007-03-28,97.67,98.17,96.95,97.18,1365400,76.71
2007-03-27,98.04,98.61,97.34,98.18,1439800,77.50
2007-03-26,99.16,99.18,97.50,98.42,1168700,77.69
2007-03-23,98.00,99.25,97.94,99.15,1305700,78.26
2007-03-22,99.50,99.59,97.76,97.91,1656800,77.28
2007-03-21,98.54,99.85,98.39,99.85,1191800,78.82
2007-03-20,98.60,98.69,97.75,98.38,1181000,77.66
2007-03-19,98.00,99.06,98.00,98.97,1150400,78.12
2007-03-16,98.43,98.47,97.72,97.80,1702800,77.20
2007-03-15,97.94,98.28,97.45,98.05,1425800,77.39
2007-03-14,97.09,98.35,95.95,98.14,2120300,77.47
2007-03-13,99.52,99.74,96.87,96.87,2067900,76.46
2007-03-12,96.65,100.02,96.65,100.00,2120300,78.93
2007-03-09,97.56,97.83,96.60,96.89,1176400,76.48
2007-03-08,97.40,97.98,96.72,97.18,1324700,76.71
2007-03-07,96.86,97.10,96.31,96.54,1256100,76.20
2007-03-06,96.89,97.52,96.35,96.90,1898900,76.49
2007-03-05,94.96,97.54,94.80,96.50,2866100,76.17
2007-03-02,97.66,97.94,95.44,95.44,2296700,75.33
2007-03-01,96.25,98.09,92.68,97.82,2382400,77.21
2007-02-28,96.75,98.84,95.84,97.26,3070100,76.77
2007-02-27,101.16,101.34,96.33,97.57,2717300,77.02
2007-02-26,102.07,102.34,101.00,101.47,1383700,79.82
2007-02-23,101.59,102.32,101.13,102.11,1630900,80.32
2007-02-22,103.24,103.50,101.12,101.55,3377500,79.88
2007-02-21,102.76,103.42,102.27,102.55,1242900,80.67
2007-02-20,101.70,102.79,101.45,102.79,2235300,80.86
2007-02-16,102.66,103.26,101.58,101.95,1854700,80.20
2007-02-15,102.14,103.46,102.04,103.34,1233800,81.29
2007-02-14,102.38,102.81,102.00,102.32,1010100,80.49
2007-02-13,101.64,102.61,101.52,102.26,1632200,80.44
2007-02-12,101.16,101.93,101.13,101.63,1690800,79.94
2007-02-09,100.76,101.59,100.72,101.16,1075700,79.57
2007-02-08,101.52,101.78,100.66,100.88,1300000,79.35
2007-02-07,100.92,101.84,100.67,101.52,2205500,79.86
2007-02-06,99.39,101.32,99.19,101.29,3627000,79.68
2007-02-05,98.00,99.38,97.86,99.08,1763800,77.94
2007-02-02,97.85,99.00,97.58,98.46,2322000,77.45
2007-02-01,96.90,98.53,96.72,98.46,2281900,77.45
2007-01-31,96.20,97.30,96.16,97.19,1893500,76.45
2007-01-30,96.00,96.36,95.82,96.24,1851000,75.70
2007-01-29,96.33,96.62,95.95,96.06,3140600,75.56
2007-01-26,98.75,98.75,96.21,96.67,2306300,76.04
2007-01-25,98.50,98.75,97.44,97.44,2715700,76.65
2007-01-24,98.20,98.21,96.50,97.14,3100300,76.41
2007-01-23,96.70,98.75,96.50,98.74,3159400,77.67
2007-01-22,97.28,97.29,95.60,96.77,3031700,76.12
2007-01-19,96.97,97.75,96.29,97.27,1578400,76.51
2007-01-18,96.12,97.38,96.12,96.80,1562600,76.14
2007-01-17,97.25,97.42,96.07,96.50,2229900,75.91
2007-01-16,96.05,97.48,96.03,97.00,1551800,76.30
2007-01-12,95.41,96.68,95.32,96.31,1760500,75.76
2007-01-11,94.55,95.76,94.12,95.66,1949700,75.25
2007-01-10,93.30,94.85,92.86,94.58,1305100,74.40
2007-01-09,94.03,94.67,93.25,93.60,1501600,73.63
2007-01-08,91.55,94.20,91.54,93.69,2002400,73.70
2007-01-05,91.69,92.57,91.37,92.02,1954600,72.38
2007-01-04,92.05,92.23,91.08,91.69,1942900,72.13
2007-01-03,91.60,92.51,91.51,91.93,1753900,72.31
2006-12-29,92.09,92.68,91.95,92.07,911100,72.42
2006-12-28,92.81,93.24,92.19,92.31,741900,72.61
2006-12-27,92.74,92.95,92.45,92.95,756300,73.12
2006-12-26,92.14,92.55,91.77,92.35,849300,72.64
2006-12-22,92.36,92.44,91.15,91.70,770800,72.13
2006-12-21,92.15,92.50,91.43,91.94,1372800,72.32
2006-12-20,91.60,92.10,91.43,91.60,1531000,72.05
2006-12-19,90.05,92.03,90.00,91.85,1288500,72.25
2006-12-18,90.02,90.53,89.85,90.18,1317100,70.94
2006-12-15,90.23,90.36,89.91,90.04,2301500,70.83
2006-12-14,90.72,90.87,89.95,90.25,1646100,70.99
2006-12-13,91.18,91.37,89.94,89.94,1753300,70.75
2006-12-12,91.20,91.36,90.61,90.92,1583200,71.52
2006-12-11,91.45,91.67,91.06,91.33,937200,71.84
2006-12-08,91.46,91.84,90.89,91.82,1088700,72.23
2006-12-07,92.58,92.67,91.33,91.64,1037900,72.09
2006-12-06,92.19,92.81,91.82,92.28,1310500,72.59
2006-12-05,92.29,92.68,91.49,92.41,2142500,72.69
2006-12-04,90.15,92.16,90.13,92.14,1391700,72.48
2006-12-01,90.55,90.93,90.00,90.35,1763300,71.07
2006-11-30,91.14,91.14,89.21,90.45,1588700,71.15
2006-11-29,89.60,90.79,89.24,90.62,1647000,71.28
2006-11-28,87.90,89.75,87.80,89.65,1743400,70.24
2006-11-27,88.95,89.09,87.64,87.82,1349600,68.81
2006-11-24,89.35,89.68,89.15,89.33,321900,69.99
2006-11-22,90.05,90.47,89.10,89.49,1188700,70.12
2006-11-21,89.28,90.05,88.97,90.05,1880900,70.56
2006-11-20,89.97,89.97,88.81,89.27,1447000,69.95
2006-11-17,89.28,89.58,88.93,89.15,1066100,69.85
2006-11-16,88.47,89.73,88.40,89.48,1372000,70.11
2006-11-15,88.00,88.96,87.94,88.54,1805500,69.38
2006-11-14,87.00,88.04,86.76,88.04,2219200,68.98
2006-11-13,85.51,87.36,85.51,86.86,2726200,68.06
2006-11-10,85.12,86.28,84.89,85.75,2237200,67.19
2006-11-09,86.45,86.75,85.17,85.37,2872800,66.89
2006-11-08,86.83,87.01,85.18,86.45,4738600,67.74
2006-11-07,87.60,88.11,87.27,87.49,1736000,68.55
2006-11-06,87.33,88.18,87.06,87.69,2948000,68.71
