Date,Open,High,Low,Close,Volume,Adj Close
2010-04-23,182.05,184.07,181.67,184.05,229400,184.05
2010-04-22,180.05,183.27,180.05,182.24,454000,182.24
2010-04-21,179.99,181.32,179.08,181.00,249200,181.00
2010-04-20,180.17,180.99,179.20,179.76,236300,179.76
2010-04-19,180.15,180.73,177.67,180.00,330900,180.00
2010-04-16,181.01,181.50,179.54,180.11,506600,180.11
2010-04-15,179.64,181.25,179.02,181.05,349000,181.05
2010-04-14,176.44,180.20,175.62,179.80,395000,179.80
2010-04-13,175.24,176.06,174.68,175.44,225400,175.44
2010-04-12,175.36,176.10,174.83,175.42,219800,175.42
2010-04-09,175.33,175.60,174.20,175.29,232600,175.29
2010-04-08,175.44,176.09,174.17,175.05,347300,175.05
2010-04-07,173.70,176.63,172.62,176.00,389200,176.00
2010-04-06,173.51,174.14,172.59,173.97,281500,173.97
2010-04-05,174.59,174.99,172.90,173.53,403200,173.53
2010-04-01,173.82,175.33,173.82,174.88,288100,174.88
2010-03-31,173.11,173.84,172.43,173.09,297500,173.09
2010-03-30,172.84,174.89,172.73,173.58,343700,173.58
2010-03-29,174.31,174.73,172.87,173.23,293800,173.23
2010-03-26,173.93,175.35,173.31,174.22,308000,174.22
2010-03-25,174.85,175.23,173.82,173.93,368000,173.93
2010-03-24,174.33,174.33,172.75,173.57,437100,173.57
2010-03-23,173.81,175.39,173.64,175.05,346000,175.05
2010-03-22,172.65,174.82,171.62,174.19,518500,174.19
2010-03-19,172.28,173.19,170.15,172.28,551100,172.28
2010-03-18,172.49,174.15,171.29,172.21,309300,172.21
2010-03-17,168.48,173.03,168.48,172.00,672200,172.00
2010-03-16,167.79,169.33,167.46,169.17,516100,169.17
2010-03-15,168.89,169.17,167.79,169.00,305300,169.00
2010-03-12,168.73,169.33,168.09,168.89,256600,168.89
2010-03-11,167.30,168.77,166.72,168.66,333600,168.66
2010-03-10,167.36,169.06,167.36,168.09,633700,168.09
2010-03-09,167.10,169.69,167.02,167.86,563300,167.86
2010-03-08,168.76,168.97,167.77,168.15,495400,168.15
2010-03-05,168.50,169.75,167.86,168.79,536100,168.79
2010-03-04,164.78,168.40,164.75,167.62,742100,167.62
2010-03-03,163.88,166.27,162.57,164.57,943100,164.57
2010-03-02,168.34,170.33,164.53,164.74,1696900,164.74
2010-03-01,165.43,166.66,164.30,166.00,704200,166.00
2010-02-26,166.50,167.09,164.51,165.93,584000,165.93
2010-02-25,162.87,166.31,162.76,166.08,686700,166.08
2010-02-24,163.77,165.50,163.28,164.96,494100,164.96
2010-02-23,162.60,165.85,162.60,164.24,434600,164.24
2010-02-22,164.30,164.43,162.98,163.07,275700,163.07
2010-02-19,163.00,164.52,162.54,163.67,490100,163.67
2010-02-18,162.69,163.42,160.20,163.19,892100,163.19
2010-02-17,164.50,165.73,163.45,165.62,328500,165.62
2010-02-16,161.32,164.92,161.02,164.87,737500,164.87
2010-02-12,158.20,161.13,157.72,160.85,481200,160.85
2010-02-11,158.50,159.17,157.20,158.65,528100,158.65
2010-02-10,158.58,159.45,157.89,158.50,329000,158.50
2010-02-09,158.09,159.63,155.87,159.05,485800,159.05
2010-02-08,157.56,159.45,156.94,156.94,666200,156.94
2010-02-05,154.38,156.02,153.44,155.38,820800,155.38
2010-02-04,156.57,157.37,154.34,154.40,689300,154.40
2010-02-03,157.18,157.58,156.19,157.09,322200,157.09
2010-02-02,156.34,158.05,155.84,157.58,364700,157.58
2010-02-01,155.45,157.04,155.41,156.50,283800,156.50
2010-01-29,155.31,156.66,154.97,155.03,422300,155.03
2010-01-28,156.69,157.29,154.44,155.42,399200,155.42
2010-01-27,158.34,159.59,155.57,156.38,661700,156.38
2010-01-26,155.74,158.56,155.47,158.34,542100,158.34
2010-01-25,156.75,157.61,156.07,156.44,509700,156.44
2010-01-22,156.94,158.72,155.51,155.87,661100,155.87
2010-01-21,156.98,159.01,156.98,157.33,560100,157.33
2010-01-20,156.38,157.89,155.34,156.37,682200,156.37
2010-01-19,154.81,157.43,154.35,157.28,591700,157.28
2010-01-15,154.14,155.53,153.64,155.08,697300,155.08
2010-01-14,154.50,154.72,152.75,154.38,375200,154.38
2010-01-13,154.83,155.51,153.97,154.75,362100,154.75
2010-01-12,155.26,156.19,153.55,155.14,453500,155.14
2010-01-11,155.01,155.65,153.89,155.48,440400,155.48
2010-01-08,156.73,156.99,155.14,155.28,461900,155.28
2010-01-07,155.92,157.91,155.14,157.30,424500,157.30
2010-01-06,156.45,158.79,154.29,155.24,1074300,155.24
2010-01-05,158.65,158.65,152.32,156.71,1224700,156.71
2010-01-04,158.99,159.39,157.71,158.03,408300,158.03
2009-12-31,159.46,160.28,158.07,158.07,272000,158.07
2009-12-30,159.13,160.65,158.72,159.47,277000,159.47
2009-12-29,160.05,160.57,159.34,159.47,153900,159.47
2009-12-28,160.00,160.94,159.30,159.59,364800,159.59
2009-12-24,160.01,160.28,159.62,159.91,143500,159.91
2009-12-23,159.52,161.33,159.14,160.28,514200,160.28
2009-12-22,159.03,159.99,158.56,159.52,420300,159.52
2009-12-21,158.29,159.97,157.74,159.52,597800,159.52
2009-12-18,159.29,159.50,157.58,158.29,581500,158.29
2009-12-17,160.89,160.89,157.70,158.15,576600,158.15
2009-12-16,157.70,158.85,156.69,157.99,466800,157.99
2009-12-15,158.56,158.59,156.73,156.91,345200,156.91
2009-12-14,158.36,158.77,156.41,158.56,620700,158.56
2009-12-11,156.83,156.83,154.79,155.78,282700,155.78
2009-12-10,156.00,156.48,154.40,155.40,599700,155.40
2009-12-09,157.96,157.96,153.96,156.31,727900,156.31
2009-12-08,152.66,158.95,149.92,156.90,1770200,156.90
2009-12-07,152.63,154.66,152.36,153.36,897600,153.36
2009-12-04,152.12,154.83,149.98,152.08,735900,152.08
2009-12-03,150.44,152.34,149.02,151.40,715200,151.40
2009-12-02,151.66,152.05,149.89,150.48,427600,150.48
2009-12-01,148.49,152.95,148.29,151.20,679200,151.20
2009-11-30,149.63,149.97,146.98,147.87,665200,147.87
2009-11-27,148.12,151.36,147.60,150.05,321600,150.05
2009-11-25,147.20,150.69,147.20,150.29,657200,150.29
2009-11-24,148.00,148.37,146.17,147.31,288900,147.31
2009-11-23,148.12,148.85,146.90,147.73,366900,147.73
2009-11-20,145.01,147.89,144.63,147.42,771900,147.42
2009-11-19,146.15,146.15,144.24,145.83,558100,145.83
2009-11-18,142.97,146.05,142.26,145.86,655300,145.86
2009-11-17,142.68,143.19,141.43,142.62,476600,142.62
2009-11-16,143.71,144.00,142.00,143.03,893700,143.03
2009-11-13,144.16,145.30,143.01,143.67,432300,143.67
2009-11-12,146.40,146.45,143.96,144.19,822800,144.19
2009-11-11,144.26,148.32,144.01,147.51,1191200,147.51
2009-11-10,142.76,143.60,142.11,143.35,530400,143.35
2009-11-09,141.01,143.67,140.33,143.24,590900,143.24
2009-11-06,139.98,141.37,138.58,140.32,550900,140.32
2009-11-05,140.16,140.84,138.01,140.21,540900,140.21
2009-11-04,139.78,141.42,139.09,139.35,891900,139.35
2009-11-03,136.44,139.61,136.05,138.93,901200,138.93
2009-11-02,135.82,137.30,135.13,136.22,810300,136.22
2009-10-30,138.02,138.50,135.31,135.31,893000,135.31
2009-10-29,139.01,140.50,137.64,138.29,885700,138.29
2009-10-28,136.55,138.97,136.34,136.42,1066600,136.42
2009-10-27,137.46,138.79,135.68,137.17,915600,137.17
2009-10-26,137.51,139.15,137.03,137.46,557100,137.46
2009-10-23,139.59,139.59,137.28,137.62,840900,137.62
2009-10-22,137.47,139.45,137.19,139.10,929500,139.10
2009-10-21,141.07,142.00,137.98,137.99,1166500,137.99
2009-10-20,143.90,143.90,140.40,140.94,1377900,140.94
2009-10-19,143.84,145.34,142.25,144.00,1363000,144.00
2009-10-16,143.81,145.91,143.81,144.52,739700,144.52
2009-10-15,143.41,145.36,143.21,144.67,908300,144.67
2009-10-14,145.00,145.89,143.40,143.95,1163700,143.95
2009-10-13,144.82,145.92,143.86,144.70,663500,144.70
2009-10-12,146.12,146.83,144.40,144.87,746500,144.87
2009-10-09,147.11,147.74,145.05,145.92,746100,145.92
2009-10-08,147.50,148.78,146.86,147.12,606200,147.12
2009-10-07,146.59,147.40,144.70,147.21,777700,147.21
2009-10-06,146.24,147.66,145.33,147.08,928000,147.08
2009-10-05,145.70,147.12,144.57,145.14,1186300,145.14
2009-10-02,144.21,147.32,143.82,146.05,1132100,146.05
2009-10-01,145.77,147.06,144.13,145.62,1380100,145.62
2009-09-30,145.17,147.00,144.45,146.22,994500,146.22
2009-09-29,143.29,146.76,143.26,145.98,1528100,145.98
2009-09-28,143.98,145.44,142.41,142.77,862700,142.77
2009-09-25,142.18,144.50,142.00,143.97,1159200,143.97
2009-09-24,142.72,144.40,142.05,142.50,1620600,142.50
2009-09-23,148.61,148.94,141.44,141.50,3902100,141.50
2009-09-22,154.69,154.69,151.74,152.92,869700,152.92
2009-09-21,151.81,154.31,150.00,153.55,901500,153.55
2009-09-18,146.91,152.55,146.88,152.09,1551100,152.09
2009-09-17,147.56,148.97,146.73,147.37,616800,147.37
2009-09-16,147.59,148.76,146.42,147.41,622000,147.41
2009-09-15,147.36,147.76,145.36,147.28,825700,147.28
2009-09-14,145.34,147.44,144.82,147.20,578600,147.20
2009-09-11,148.75,149.16,145.87,146.45,996200,146.45
2009-09-10,149.31,150.23,147.88,149.40,572600,149.40
2009-09-09,149.84,150.30,148.04,149.32,608200,149.32
2009-09-08,149.62,150.07,147.51,150.00,700300,150.00
2009-09-04,148.95,148.99,147.25,148.18,462200,148.18
2009-09-03,145.38,148.98,144.77,148.81,817300,148.81
2009-09-02,145.14,146.17,144.20,145.25,578200,145.25
2009-09-01,146.34,147.95,144.24,144.94,1006100,144.94
2009-08-31,146.61,147.56,145.76,147.25,1153800,147.25
2009-08-28,149.60,150.57,147.00,148.45,1121800,148.45
2009-08-27,149.70,150.23,147.81,149.07,863300,149.07
2009-08-26,149.76,151.95,149.42,150.22,698400,150.22
2009-08-25,151.27,151.81,149.69,149.98,869000,149.98
2009-08-24,152.96,153.37,150.66,150.80,592800,150.80
2009-08-21,151.80,153.28,151.03,153.25,520500,153.25
2009-08-20,152.07,152.56,149.52,151.81,714600,151.81
2009-08-19,148.68,152.33,148.10,151.15,916000,151.15
2009-08-18,147.88,151.94,146.26,149.84,1367200,149.84
2009-08-17,141.89,145.40,141.10,144.69,949000,144.69
2009-08-14,145.01,145.50,143.34,143.92,812900,143.92
2009-08-13,143.68,145.36,141.00,145.13,1421800,145.13
2009-08-12,148.86,149.95,148.25,148.49,470400,148.49
2009-08-11,147.95,149.43,146.45,148.75,428600,148.75
2009-08-10,151.00,151.00,146.67,147.98,721900,147.98
2009-08-07,147.99,151.95,147.00,151.32,967000,151.32
2009-08-06,145.99,147.75,144.59,147.42,763600,147.42
2009-08-05,149.47,149.47,144.76,145.24,1089500,145.24
2009-08-04,149.50,150.42,147.65,148.31,941500,148.31
2009-08-03,152.70,153.17,149.38,150.31,1282000,150.31
2009-07-31,157.16,157.61,153.47,153.57,677200,153.57
2009-07-30,154.13,158.00,154.07,156.31,920100,156.31
2009-07-29,153.16,153.70,151.60,152.96,754300,152.96
2009-07-28,154.00,155.26,152.81,153.65,595000,153.65
2009-07-27,157.41,157.41,153.06,154.68,730100,154.68
2009-07-24,155.92,157.30,155.42,157.24,460200,157.24
2009-07-23,156.86,157.85,155.20,156.78,1109300,156.78
2009-07-22,154.93,157.76,154.93,156.97,1506900,156.97
2009-07-21,156.52,156.52,152.33,155.93,1025300,155.93
2009-07-20,155.99,156.70,154.38,156.65,760000,156.65
2009-07-17,157.68,157.94,156.18,156.98,1216200,156.98
2009-07-16,158.10,158.50,157.01,157.85,966200,157.85
2009-07-15,159.70,160.80,157.83,158.00,1070500,158.00
2009-07-14,156.27,159.69,154.63,158.77,978000,158.77
2009-07-13,153.81,156.35,151.71,155.89,825300,155.89
2009-07-10,154.57,156.54,153.02,153.92,586600,153.92
2009-07-09,155.05,156.62,154.05,155.27,962400,155.27
2009-07-08,151.82,155.74,151.44,155.33,1068500,155.33
2009-07-07,151.65,152.07,150.05,150.74,781700,150.74
2009-07-06,149.94,153.47,148.72,153.02,801300,153.02
2009-07-02,153.04,153.95,150.00,150.00,737900,150.00
2009-07-01,153.58,153.66,150.58,152.76,989200,152.76
2009-06-30,151.21,152.96,150.41,151.11,902100,151.11
2009-06-29,151.15,152.63,148.32,151.75,924400,151.75
2009-06-26,152.04,152.05,149.20,149.85,1359600,149.85
2009-06-25,148.87,152.09,148.00,152.09,1415700,152.09
2009-06-24,153.36,153.67,147.44,148.80,1945000,148.80
2009-06-23,155.29,155.44,153.56,154.21,1044400,154.21
2009-06-22,153.87,156.47,153.56,155.10,1137200,155.10
2009-06-19,158.10,158.10,155.67,155.73,1383400,155.73
2009-06-18,156.07,158.50,154.63,157.40,882800,157.40
2009-06-17,152.61,157.77,151.58,155.54,1072700,155.54
2009-06-16,154.89,155.12,152.08,152.48,788200,152.48
2009-06-15,154.03,155.54,152.20,154.91,828800,154.91
2009-06-12,153.55,155.98,151.59,155.50,774200,155.50
2009-06-11,158.34,158.89,154.05,154.05,1264100,154.05
2009-06-10,160.84,161.25,155.72,157.92,1116200,157.92
2009-06-09,158.53,161.59,158.39,160.27,715600,160.27
2009-06-08,158.00,159.54,157.00,158.34,547200,158.34
2009-06-05,159.49,160.41,156.35,159.57,1052200,159.57
2009-06-04,158.38,158.54,155.44,158.40,1002000,158.40
2009-06-03,157.32,158.89,155.30,158.80,980700,158.80
2009-06-02,156.99,159.43,155.27,158.32,1066600,158.32
2009-06-01,153.88,157.99,153.55,156.83,1218100,156.83
2009-05-29,150.88,153.80,149.30,152.15,1855300,152.15
2009-05-28,155.37,156.27,148.62,150.56,2219000,150.56
2009-05-27,159.92,161.32,153.49,155.04,3583100,155.04
2009-05-26,156.02,164.38,155.35,162.84,1907500,162.84
2009-05-22,154.99,156.95,151.66,155.65,1037500,155.65
2009-05-21,157.45,157.56,152.57,154.54,1463500,154.54
2009-05-20,162.30,163.76,155.82,157.10,1138300,157.10
2009-05-19,158.20,162.56,158.20,161.28,709900,161.28
2009-05-18,158.94,159.67,155.28,158.71,775000,158.71
2009-05-15,156.29,159.20,155.28,158.01,960400,158.01
2009-05-14,154.48,157.89,154.02,156.67,950300,156.67
2009-05-13,156.20,158.06,154.00,154.48,1319700,154.48
2009-05-12,158.51,159.49,154.18,156.98,1546300,156.98
2009-05-11,157.26,160.96,153.89,158.99,990800,158.99
2009-05-08,163.92,164.95,156.54,157.47,1413900,157.47
2009-05-07,164.75,165.13,160.10,163.02,1152300,163.02
2009-05-06,164.49,167.39,162.11,163.30,1270500,163.30
2009-05-05,162.60,164.00,160.25,161.57,1015300,161.57
2009-05-04,163.93,164.82,161.62,163.21,1099300,163.21
2009-05-01,166.89,166.95,161.68,162.27,766200,162.27
2009-04-30,165.93,169.99,164.72,166.39,1057900,166.39
2009-04-29,165.92,167.54,163.32,163.93,766800,163.93
2009-04-28,162.95,167.00,162.55,165.19,697900,165.19
2009-04-27,161.95,166.36,161.17,164.16,748400,164.16
2009-04-24,164.44,165.33,161.43,161.68,918500,161.68
2009-04-23,165.34,165.65,161.53,164.47,938200,164.47
2009-04-22,164.45,169.13,163.03,164.44,944700,164.44
2009-04-21,165.30,165.51,162.11,165.09,939700,165.09
2009-04-20,165.70,166.36,163.20,165.36,955400,165.36
2009-04-17,165.92,166.66,163.55,166.38,717800,166.38
2009-04-16,162.24,166.32,161.38,165.93,1080700,165.93
2009-04-15,158.84,161.43,158.50,161.09,853700,161.09
2009-04-14,157.50,159.55,155.35,158.93,920500,158.93
2009-04-13,160.87,161.22,157.27,158.01,833000,158.01
2009-04-09,161.15,162.55,159.89,161.72,892700,161.72
2009-04-08,156.75,159.69,155.76,159.18,1000400,159.18
2009-04-07,160.32,160.32,155.39,155.47,1094900,155.47
2009-04-06,159.30,161.29,157.38,160.88,883900,160.88
2009-04-03,157.83,161.62,155.34,160.30,1265900,160.30
2009-04-02,165.84,168.19,157.97,158.24,2555200,158.24
2009-04-01,162.64,167.13,161.50,166.82,1083200,166.82
2009-03-31,163.81,165.21,161.50,162.62,966500,162.62
2009-03-30,162.60,163.65,160.75,163.40,817200,163.40
2009-03-27,164.96,165.46,163.25,164.19,637400,164.19
2009-03-26,161.99,166.42,161.34,166.20,1063000,166.20
2009-03-25,158.45,162.40,158.25,162.19,1092300,162.19
2009-03-24,157.75,159.02,157.00,158.05,1175200,158.05
2009-03-23,159.25,159.33,155.44,158.72,1648700,158.72
2009-03-20,160.96,161.92,157.01,160.03,1402600,160.03
2009-03-19,162.26,162.35,159.76,160.82,1357300,160.82
2009-03-18,162.49,164.07,159.24,162.31,1491200,162.31
2009-03-17,158.25,162.24,157.54,161.45,1366400,161.45
2009-03-16,161.64,161.98,158.36,158.50,1193100,158.50
2009-03-13,161.68,162.81,159.76,160.51,1246400,160.51
2009-03-12,158.12,161.45,156.50,161.00,1411300,161.00
2009-03-11,158.50,161.06,157.25,158.51,1331100,158.51
2009-03-10,151.65,157.66,151.02,157.66,1875800,157.66
2009-03-09,150.95,152.99,148.80,150.00,1838600,150.00
2009-03-06,154.00,154.00,147.84,152.76,1794200,152.76
2009-03-05,153.32,156.89,151.25,152.45,1921100,152.45
2009-03-04,150.91,155.79,150.29,154.29,2031700,154.29
2009-03-03,151.45,157.49,149.44,150.94,6849600,150.94
2009-03-02,141.16,142.17,139.25,140.03,1909700,140.03
2009-02-27,140.19,145.39,140.05,142.23,1719400,142.23
2009-02-26,145.80,146.34,140.72,141.08,1104000,141.08
2009-02-25,145.19,146.66,143.11,143.88,1278900,143.88
2009-02-24,142.27,146.16,142.27,145.62,1502600,145.62
2009-02-23,146.44,148.50,141.52,141.88,2118400,141.88
2009-02-20,141.48,146.95,140.52,146.39,2927100,146.39
2009-02-19,137.90,143.13,137.90,142.58,2555600,142.58
2009-02-18,132.00,133.45,129.21,133.11,1733300,133.11
2009-02-17,134.39,136.08,131.50,131.74,1921800,131.74
2009-02-13,139.10,139.64,136.41,136.70,854000,136.70
2009-02-12,137.40,139.76,135.55,139.76,1137700,139.76
2009-02-11,139.86,140.39,138.09,138.86,897500,138.86
2009-02-10,141.99,143.30,138.56,139.52,933400,139.52
2009-02-09,144.15,144.99,141.47,142.46,829400,142.46
2009-02-06,139.87,145.77,139.86,143.96,1994000,143.96
2009-02-05,136.50,140.25,136.44,139.86,1238000,139.86
2009-02-04,138.99,139.79,135.53,137.00,1280600,137.00
2009-02-03,134.88,139.70,133.68,139.08,1265600,139.08
2009-02-02,131.66,135.29,131.39,134.30,1118800,134.30
2009-01-30,135.50,136.60,132.31,132.89,888800,132.89
2009-01-29,136.67,138.07,135.56,136.00,821000,136.00
2009-01-28,135.05,137.99,135.03,137.27,961400,137.27
2009-01-27,133.65,134.95,132.30,133.88,958100,133.88
2009-01-26,133.53,134.99,131.30,132.61,1013400,132.61
2009-01-23,130.01,134.88,129.01,133.15,1280800,133.15
2009-01-22,132.00,133.84,129.43,133.08,1488000,133.08
2009-01-21,129.88,133.12,126.92,133.03,1527500,133.03
2009-01-20,131.79,132.19,128.32,128.98,1214900,128.98
2009-01-16,132.34,133.62,130.37,132.61,992900,132.61
2009-01-15,127.95,132.65,126.60,131.29,1444300,131.29
2009-01-14,127.51,127.64,125.80,127.06,1357300,127.06
2009-01-13,127.61,131.31,127.50,129.16,1096600,129.16
2009-01-12,130.12,131.24,127.24,128.77,1500200,128.77
2009-01-09,135.89,136.67,132.30,133.06,860700,133.06
2009-01-08,136.93,136.93,132.79,135.86,1388700,135.86
2009-01-07,135.83,136.37,132.19,135.44,1991300,135.44
2009-01-06,137.73,140.29,136.96,139.20,1341400,139.20
2009-01-05,140.80,141.78,136.55,137.73,1493500,137.73
2009-01-02,138.94,141.10,138.08,140.57,1148800,140.57
2008-12-31,136.25,140.64,135.85,139.47,1111400,139.47
2008-12-30,132.02,137.50,132.02,137.25,1253000,137.25
2008-12-29,131.87,133.06,130.00,132.69,933700,132.69
2008-12-26,130.51,132.35,130.31,132.23,476000,132.23
2008-12-24,129.71,130.91,129.42,129.97,188000,129.97
2008-12-23,130.93,131.34,127.35,129.71,1033000,129.71
2008-12-22,130.00,130.87,125.77,128.63,1692000,128.63
2008-12-19,136.50,138.19,131.62,131.62,1741900,131.62
2008-12-18,134.80,138.13,134.25,135.77,1116000,135.77
2008-12-17,133.10,136.59,131.02,134.27,1080800,134.27
2008-12-16,129.50,133.95,129.48,133.50,1454300,133.50
2008-12-15,129.98,131.16,126.32,129.02,1575200,129.02
2008-12-12,123.99,130.76,123.25,129.60,1966100,129.60
2008-12-11,128.62,129.32,124.22,126.06,1743300,126.06
2008-12-10,124.12,129.52,123.91,128.62,1691600,128.62
2008-12-09,119.11,127.90,118.56,124.51,3183100,124.51
2008-12-08,123.90,125.07,115.26,116.50,1871700,116.50
2008-12-05,112.40,122.26,111.57,121.48,1697800,121.48
2008-12-04,113.37,119.14,112.22,114.38,1376000,114.38
2008-12-03,106.09,116.29,105.72,115.80,1614900,115.80
2008-12-02,102.00,108.47,98.67,108.36,1860200,108.36
2008-12-01,107.55,108.90,100.12,101.05,1559200,101.05
2008-11-28,108.50,110.04,107.80,109.22,546300,109.22
2008-11-26,101.50,109.47,101.34,108.76,999100,108.76
2008-11-25,102.20,103.42,98.14,103.16,1362400,103.16
2008-11-24,92.52,101.03,92.52,99.12,1969100,99.12
2008-11-21,90.00,92.43,84.66,92.41,3077000,92.41
2008-11-20,90.71,96.56,86.91,89.09,3208900,89.09
2008-11-19,106.07,107.01,93.10,94.25,3450200,94.25
2008-11-18,103.75,108.32,102.40,107.16,2235200,107.16
2008-11-17,106.00,108.81,104.51,104.59,1125400,104.59
2008-11-14,111.18,112.56,105.76,105.76,1179900,105.76
2008-11-13,103.98,112.76,103.30,112.68,1340400,112.68
2008-11-12,109.50,110.98,102.83,103.22,1625100,103.22
2008-11-11,114.80,115.00,111.00,111.86,710800,111.86
2008-11-10,119.26,120.91,114.48,116.20,626200,116.20
2008-11-07,116.19,119.11,116.19,118.94,765000,118.94
2008-11-06,117.00,121.79,115.53,117.24,1175700,117.24
2008-11-05,117.80,120.25,117.00,118.01,1585300,118.01
2008-11-04,122.47,123.09,119.17,122.85,717000,122.85
2008-11-03,125.75,126.14,119.88,120.73,1148400,120.73
2008-10-31,121.00,129.32,120.77,127.29,1251700,127.29
2008-10-30,120.40,126.96,120.28,122.10,1029200,122.10
2008-10-29,114.15,124.69,112.29,119.75,2024400,119.75
2008-10-28,105.05,115.14,103.98,114.20,1675700,114.20
2008-10-27,101.53,106.85,99.75,102.88,903100,102.88
2008-10-24,101.05,104.41,100.27,102.70,743800,102.70
2008-10-23,107.13,108.14,100.33,105.49,1273100,105.49
2008-10-22,107.25,109.81,103.04,105.96,892500,105.96
2008-10-21,108.00,113.02,105.70,108.94,797200,108.94
2008-10-20,105.62,108.68,104.21,108.64,729500,108.64
2008-10-17,103.80,109.70,103.60,106.60,701400,106.60
2008-10-16,101.03,106.00,98.85,105.56,1174000,105.56
2008-10-15,108.11,109.31,101.07,101.11,1003000,101.11
2008-10-14,110.90,111.05,104.36,108.50,1311700,108.50
2008-10-13,102.55,107.80,102.22,107.25,269900,107.25
2008-10-10,95.34,103.79,93.55,99.70,1495700,99.70
2008-10-09,107.20,108.70,98.79,98.79,1241100,98.79
2008-10-08,106.11,111.47,103.67,106.95,1502400,106.95
2008-10-07,118.85,119.96,107.50,108.21,2264400,108.21
2008-10-06,115.66,120.09,114.02,119.10,1354200,119.10
2008-10-03,118.10,120.72,117.18,117.40,1101600,117.40
2008-10-02,122.07,123.47,115.43,116.99,1150300,116.99
2008-10-01,122.46,124.38,121.73,122.07,758000,122.07
2008-09-30,125.85,125.85,121.46,123.34,1316500,123.34
2008-09-29,128.60,129.42,121.94,124.55,899600,124.55
2008-09-26,128.76,130.44,127.04,129.35,457800,129.35
2008-09-25,127.40,130.38,126.64,128.77,916900,128.77
2008-09-24,127.09,129.05,125.52,125.98,647000,125.98
2008-09-23,129.55,130.21,126.93,127.17,678900,127.17
2008-09-22,128.00,134.14,127.69,129.06,1261200,129.06
2008-09-19,134.38,136.40,123.00,130.79,1240500,130.79
2008-09-18,129.75,130.60,120.00,128.53,1950400,128.53
2008-09-17,131.32,132.86,128.09,128.19,1226600,128.19
2008-09-16,134.76,135.31,129.60,133.63,1823700,133.63
2008-09-15,136.74,140.52,135.58,135.88,1067300,135.88
2008-09-12,136.30,138.97,135.91,138.50,840700,138.50
2008-09-11,136.40,138.44,134.24,137.82,978200,137.82
2008-09-10,135.02,137.78,133.77,137.00,708100,137.00
2008-09-09,140.50,141.97,134.98,135.01,1154900,135.01
2008-09-08,139.13,140.70,136.20,139.98,1005800,139.98
2008-09-05,137.50,138.91,135.25,138.19,681000,138.19
2008-09-04,140.79,142.36,138.31,138.38,900800,138.38
2008-09-03,138.90,141.77,138.15,141.13,1078800,141.13
2008-09-02,139.24,143.80,137.51,138.31,1217500,138.31
2008-08-29,138.00,139.85,136.82,137.23,544500,137.23
2008-08-28,137.57,140.51,137.19,138.73,744900,138.73
2008-08-27,135.29,138.35,135.29,137.30,642000,137.30
2008-08-26,132.83,136.46,132.46,136.34,595000,136.34
2008-08-25,136.20,136.56,133.23,133.45,491500,133.45
2008-08-22,135.00,137.29,134.66,136.72,567900,136.72
2008-08-21,133.56,135.86,132.78,134.34,874900,134.34
2008-08-20,136.56,137.25,133.89,135.17,736200,135.17
2008-08-19,136.12,136.69,134.22,134.89,513600,134.89
2008-08-18,139.50,140.00,136.64,137.21,559800,137.21
2008-08-15,135.25,138.92,135.25,138.59,618700,138.59
2008-08-14,133.99,137.49,132.61,136.06,857400,136.06
2008-08-13,136.06,136.17,131.31,134.30,938600,134.30
2008-08-12,138.74,139.17,136.00,136.61,685400,136.61
2008-08-11,138.01,142.49,137.25,138.96,1004700,138.96
2008-08-08,133.26,138.97,133.26,138.35,968000,138.35
2008-08-07,132.55,134.96,132.10,133.93,1078100,133.93
2008-08-06,135.23,135.23,131.46,134.00,1174400,134.00
2008-08-05,131.90,136.34,131.90,136.05,1098100,136.05
2008-08-04,131.01,131.67,129.43,130.47,639100,130.47
2008-08-01,130.38,132.72,129.18,131.33,677600,131.33
2008-07-31,129.91,133.66,129.42,130.29,750000,130.29
2008-07-30,130.91,133.16,128.72,131.25,767400,131.25
2008-07-29,126.65,131.56,126.52,131.03,719200,131.03
2008-07-28,126.70,128.28,124.49,126.71,696500,126.71
2008-07-25,130.16,130.83,127.51,127.87,769400,127.87
2008-07-24,130.76,131.97,128.80,129.00,844700,129.00
2008-07-23,127.85,133.59,127.62,130.58,1441000,130.58
2008-07-22,123.93,129.59,123.60,128.22,1077100,128.22
2008-07-21,125.50,126.97,123.63,124.52,779700,124.52
2008-07-18,126.58,126.58,123.61,126.01,1116800,126.01
2008-07-17,120.40,125.59,119.01,124.90,1302700,124.90
2008-07-16,115.10,120.44,115.10,119.93,1020900,119.93
2008-07-15,117.04,117.20,112.78,115.14,1351900,115.14
2008-07-14,119.29,120.13,116.62,117.52,669900,117.52
2008-07-11,118.53,120.15,116.11,117.68,1088400,117.68
2008-07-10,121.10,123.73,119.59,120.15,905400,120.15
2008-07-09,122.00,123.04,120.84,121.33,941900,121.33
2008-07-08,119.80,122.44,118.72,122.27,1143300,122.27
2008-07-07,120.84,121.85,118.00,119.41,929800,119.41
2008-07-03,119.20,121.77,118.66,120.18,695600,120.18
2008-07-02,122.24,122.34,118.45,118.45,1078200,118.45
2008-07-01,118.69,122.16,118.01,121.69,1142600,121.69
2008-06-30,121.70,124.51,120.37,121.01,1664100,121.01
2008-06-27,115.28,121.41,115.28,120.13,3454000,120.13
