Date,Open,High,Low,Close,Volume,Adj Close
2008-08-22,81.54,82.94,81.24,82.68,2014400,79.79
2008-08-21,80.76,81.31,79.92,81.27,2538600,78.43
2008-08-20,82.70,84.13,81.04,82.18,2468900,79.31
2008-08-19,85.06,85.72,82.45,82.91,3476500,80.02
2008-08-18,87.49,87.84,85.49,85.92,1724100,82.92
2008-08-15,87.16,89.47,86.04,87.85,2925200,84.78
2008-08-14,84.63,87.06,84.44,86.96,2366200,83.93
2008-08-13,87.51,87.51,82.85,84.82,3379800,81.86
2008-08-12,87.59,88.44,86.35,87.63,2420200,84.57
2008-08-11,87.46,90.16,86.54,87.97,3534100,84.90
2008-08-08,84.71,88.57,84.71,88.16,4126300,85.08
2008-08-07,82.22,85.00,81.40,83.22,2498700,80.32
2008-08-06,82.63,83.39,81.25,82.96,2436300,80.06
2008-08-05,79.21,84.31,79.21,83.99,4441500,81.06
2008-08-04,77.43,79.55,77.05,78.67,2421500,75.92
2008-08-01,79.00,79.00,76.11,77.34,2599300,74.64
2008-07-31,78.69,80.33,78.66,78.84,2275100,76.09
2008-07-30,80.75,81.54,78.62,79.66,4019500,76.88
2008-07-29,77.97,82.12,77.93,82.12,2486700,79.25
2008-07-28,78.80,80.01,77.96,78.04,1651000,75.32
2008-07-25,80.01,80.93,78.85,79.49,1869800,76.72
2008-07-24,83.19,83.20,79.42,79.79,3226700,77.01
2008-07-23,81.00,83.47,80.86,83.04,3802800,80.14
2008-07-22,77.10,80.55,77.10,80.48,3089800,77.67
2008-07-21,79.85,79.85,77.44,77.81,2544600,75.09
2008-07-18,78.97,80.10,78.19,79.52,3354700,76.74
2008-07-17,77.21,79.39,75.29,79.05,5452900,76.29
2008-07-16,72.99,77.20,72.46,76.96,4519900,74.27
2008-07-15,72.39,74.49,71.33,73.01,3101000,70.46
2008-07-14,74.28,74.86,72.55,73.12,2446100,70.57
2008-07-11,74.17,75.15,72.82,73.94,2842000,71.36
2008-07-10,75.49,76.33,74.31,75.22,2450000,72.60
2008-07-09,77.73,77.73,75.50,75.63,3151300,72.99
2008-07-08,75.33,77.52,75.28,77.49,3276300,74.79
2008-07-07,75.50,77.20,74.26,75.00,3299900,72.38
2008-07-03,74.67,76.08,74.00,74.97,1964600,72.35
2008-07-02,76.80,77.35,74.69,74.70,2866500,72.09
2008-07-01,78.04,78.04,74.75,76.37,4692500,73.70
2008-06-30,77.04,79.54,76.31,78.79,4433200,76.04
2008-06-27,78.02,78.89,76.51,77.25,4898800,74.55
2008-06-26,79.26,79.55,77.93,78.09,3332200,75.36
2008-06-25,79.50,81.33,79.50,79.77,3833600,76.99
2008-06-24,79.64,81.47,78.45,79.98,4914000,77.19
2008-06-23,80.89,81.38,79.89,80.13,3566400,77.33
2008-06-20,81.01,81.50,80.11,80.54,4594100,77.73
2008-06-19,82.16,82.87,80.33,81.73,6201100,78.88
2008-06-18,80.75,83.76,80.38,82.60,11801000,79.72
2008-06-17,86.95,87.00,84.18,84.33,4795700,81.39
2008-06-16,85.05,86.35,84.71,86.03,3882600,83.03
2008-06-13,87.84,87.84,84.77,85.98,5189200,82.98
2008-06-12,87.17,89.43,86.10,87.44,4859600,84.39
2008-06-11,88.67,89.29,86.55,86.57,4736000,83.55
2008-06-10,88.65,90.72,87.76,90.28,3110200,87.02
2008-06-09,89.31,90.20,88.33,89.13,2180600,85.91
2008-06-06,92.28,92.44,88.73,88.86,2985000,85.65
2008-06-05,91.86,93.69,91.26,93.69,2391400,90.31
2008-06-04,89.51,92.31,89.43,91.55,1700600,88.25
2008-06-03,90.98,91.50,89.25,89.94,2090800,86.70
2008-06-02,91.17,91.70,89.92,90.65,1798100,87.38
2008-05-30,92.07,92.68,91.50,91.71,1859800,88.40
2008-05-29,90.63,92.94,90.51,92.17,2210200,88.85
2008-05-28,90.77,91.71,89.80,90.82,3288600,87.54
2008-05-27,86.96,90.15,86.96,89.67,3286900,86.44
2008-05-23,88.58,88.62,86.58,86.83,2815400,83.70
2008-05-22,87.90,89.70,87.85,88.83,1945600,85.63
2008-05-21,89.81,90.33,88.04,88.31,4734800,85.12
2008-05-20,90.63,91.00,89.49,89.82,2588700,86.58
2008-05-19,91.00,92.59,90.57,91.07,1910400,87.78
2008-05-16,90.44,91.45,89.59,90.95,2673400,87.67
2008-05-15,90.94,91.44,89.55,90.86,2394100,87.58
2008-05-14,89.84,91.78,89.61,91.07,2306500,87.78
2008-05-13,90.56,91.30,89.14,89.61,2891200,86.38
2008-05-12,87.90,91.10,87.59,90.50,4838800,87.24
2008-05-09,92.71,92.72,90.21,90.37,3536400,87.11
2008-05-08,94.79,95.23,92.95,93.21,2324300,89.85
2008-05-07,97.51,97.63,93.73,93.75,2521600,90.37
2008-05-06,94.32,97.87,94.17,97.67,1965200,94.15
2008-05-05,95.97,96.81,95.44,95.46,1754500,92.02
2008-05-02,99.10,99.46,96.11,96.86,2682800,93.37
2008-05-01,95.59,98.94,94.94,98.65,2596700,95.09
2008-04-30,97.31,97.98,95.87,95.87,2325600,92.41
2008-04-29,95.98,97.99,95.03,97.36,2319100,93.85
2008-04-28,94.75,96.27,93.41,95.56,2037700,92.11
2008-04-25,95.01,95.11,93.21,94.46,1805500,91.05
2008-04-24,93.50,95.25,92.85,94.75,1679000,91.33
2008-04-23,93.75,94.86,92.75,93.11,2082300,89.75
2008-04-22,95.09,95.41,92.93,93.57,2214200,90.19
2008-04-21,96.51,96.51,95.00,95.45,2094600,92.01
2008-04-18,96.70,97.30,95.92,96.71,2416100,93.22
2008-04-17,96.56,96.81,94.04,94.96,1567500,91.53
2008-04-16,94.84,97.21,94.20,97.03,1923200,93.53
2008-04-15,93.23,94.00,92.20,93.67,1352300,90.29
2008-04-14,92.55,93.45,92.15,92.82,1183400,89.47
2008-04-11,93.03,94.91,92.61,92.90,2593500,89.55
2008-04-10,93.00,94.88,92.50,94.34,2068800,90.94
2008-04-09,94.20,95.14,92.86,93.11,4008000,89.75
2008-04-08,95.77,96.25,94.59,96.05,2446400,92.59
2008-04-07,97.38,97.77,95.65,96.48,1793800,93.00
2008-04-04,97.38,98.05,96.19,96.87,2074100,93.38
2008-04-03,96.10,98.15,95.80,97.67,2189400,94.15
2008-04-02,97.71,99.00,96.82,97.33,2924500,93.82
2008-04-01,93.90,97.72,93.89,97.71,6178800,94.19
2008-03-31,91.06,93.14,90.57,92.67,2480900,89.33
2008-03-28,91.55,92.56,90.85,91.27,1971000,87.98
2008-03-27,91.28,92.42,90.54,91.72,3101100,88.41
2008-03-26,91.00,91.67,90.25,91.25,1969100,87.96
2008-03-25,91.00,91.93,89.50,91.45,2526200,88.15
2008-03-24,87.20,91.99,87.05,90.77,3333700,87.50
2008-03-20,84.02,87.03,83.80,87.02,4250100,83.88
2008-03-19,87.78,88.99,86.23,86.23,2967500,83.12
2008-03-18,83.95,86.92,83.45,86.92,3438200,83.78
2008-03-17,82.95,84.40,82.50,82.55,4669800,79.57
2008-03-14,87.54,87.82,83.59,84.80,4271100,81.74
2008-03-13,85.83,87.72,85.70,87.07,4627400,83.93
2008-03-12,87.41,88.91,85.85,87.06,2693600,83.92
2008-03-11,86.71,88.16,85.41,88.16,2592800,84.98
2008-03-10,86.95,87.79,84.90,84.97,2773100,81.90
2008-03-07,88.32,88.55,86.26,86.70,2982300,83.57
2008-03-06,90.08,90.15,88.48,88.85,2350200,85.55
2008-03-05,90.40,92.10,89.40,90.35,3255600,86.99
2008-03-04,88.22,90.55,87.61,90.31,3327600,86.95
2008-03-03,88.00,89.38,87.61,89.22,2314000,85.90
2008-02-29,88.60,89.79,88.02,88.13,2791100,84.86
2008-02-28,90.18,90.48,89.06,89.19,2049000,85.88
2008-02-27,90.25,91.30,89.91,90.83,1666800,87.45
2008-02-26,89.46,91.69,89.33,90.97,1989300,87.59
2008-02-25,89.07,89.95,87.89,89.72,2074200,86.39
2008-02-22,89.84,89.84,87.14,89.09,2204500,85.78
2008-02-21,89.99,90.68,88.96,89.32,2227900,86.00
2008-02-20,88.65,90.46,88.29,89.94,2354200,86.60
2008-02-19,88.75,89.93,88.06,89.25,3426800,85.93
2008-02-15,87.51,88.45,86.95,87.92,2091500,84.65
2008-02-14,89.03,89.99,87.97,88.01,1928300,84.74
2008-02-13,90.50,90.50,87.65,89.18,1880700,85.87
2008-02-12,88.82,89.64,87.56,88.10,1971000,84.83
2008-02-11,87.80,89.00,86.44,88.45,1762700,85.16
2008-02-08,89.51,90.22,87.63,88.00,2450900,84.73
2008-02-07,89.49,90.88,89.17,90.16,2505200,86.81
2008-02-06,89.62,91.58,88.66,89.57,1952600,86.24
2008-02-05,91.15,91.15,88.85,89.00,3149000,85.69
2008-02-04,93.45,94.13,91.50,91.75,1932500,88.34
2008-02-01,93.69,93.90,91.90,93.42,2749200,89.95
2008-01-31,90.75,94.30,90.16,93.32,2965000,89.85
2008-01-30,91.70,93.49,91.59,92.04,4069700,88.62
2008-01-29,92.34,93.84,92.08,92.83,3317900,89.38
2008-01-28,90.01,92.02,89.01,91.95,3518200,88.53
2008-01-25,89.18,91.45,88.93,89.96,5212300,86.62
2008-01-24,89.61,89.89,86.90,88.51,4091800,85.22
2008-01-23,81.56,89.51,81.04,88.99,7978800,85.68
2008-01-22,80.95,84.73,80.00,84.17,4534700,81.04
2008-01-18,83.19,84.45,82.32,84.01,3553900,80.89
2008-01-17,84.48,85.34,82.54,82.78,3386400,79.70
2008-01-16,82.73,85.12,82.32,84.41,4747700,81.27
2008-01-15,83.76,84.40,83.22,83.27,3182500,80.18
2008-01-14,84.89,85.39,83.92,84.64,1889700,81.49
2008-01-11,84.42,84.76,83.44,84.04,3546800,80.92
2008-01-10,82.01,85.86,82.01,85.02,4717200,81.86
2008-01-09,82.59,82.91,81.17,82.78,3818100,79.70
2008-01-08,84.07,84.70,82.66,82.78,4566100,79.70
2008-01-07,84.79,85.33,82.65,83.49,3991900,80.39
2008-01-04,86.75,86.76,83.18,84.10,4317400,80.98
2008-01-03,86.62,87.69,86.32,87.31,2623000,84.07
2008-01-02,88.57,88.57,85.06,86.16,6514400,82.96
2007-12-31,90.14,90.22,89.01,89.17,2865100,85.86
2007-12-28,91.61,92.60,89.47,90.62,2736700,87.25
2007-12-27,92.71,92.86,91.65,91.90,2679300,88.49
2007-12-26,92.00,93.20,91.85,92.91,2841200,89.46
2007-12-24,93.21,94.00,91.77,92.13,2206100,88.71
2007-12-21,92.61,95.48,92.61,94.29,3756800,90.79
2007-12-20,95.12,95.12,92.87,93.63,2781800,90.15
2007-12-19,96.77,96.77,94.41,94.63,2020900,91.11
2007-12-18,96.50,96.86,95.75,96.76,2071000,93.16
2007-12-17,95.31,96.68,95.04,95.90,2390700,92.34
2007-12-14,95.83,97.56,95.81,95.92,2568500,92.36
2007-12-13,95.40,97.33,95.26,97.19,2355700,93.58
2007-12-12,99.75,100.69,96.71,97.97,2182300,94.33
2007-12-11,100.82,101.21,97.67,97.67,2238500,94.04
2007-12-10,100.30,101.53,99.75,100.87,1927000,97.12
2007-12-07,98.87,100.70,98.87,100.22,1784200,96.40
2007-12-06,97.84,98.56,96.90,98.49,1165300,94.74
2007-12-05,98.31,98.31,96.59,97.38,1771600,93.67
2007-12-04,96.86,98.28,96.57,97.21,1856800,93.50
2007-12-03,97.48,98.81,96.99,97.25,2228200,93.54
2007-11-30,97.15,98.90,96.04,98.47,3192300,94.72
2007-11-29,96.62,96.97,95.70,96.19,1956100,92.52
2007-11-28,93.25,97.58,93.11,97.12,3489500,93.42
2007-11-27,92.31,93.21,91.10,93.21,2757300,89.66
2007-11-26,93.42,94.60,91.40,91.65,2344000,88.16
2007-11-23,92.13,93.60,92.13,93.60,872400,90.03
2007-11-21,92.40,93.88,91.56,91.71,3165800,88.21
2007-11-20,93.91,95.54,92.17,93.35,3491500,89.79
2007-11-19,96.00,96.49,92.80,94.05,4100200,90.46
2007-11-16,97.84,98.39,96.10,96.80,6216300,93.11
2007-11-15,100.65,102.65,100.57,101.37,1865700,97.51
2007-11-14,102.36,102.84,100.79,101.25,1634100,97.39
2007-11-13,100.52,102.05,99.88,101.95,2021300,98.06
2007-11-12,100.41,101.37,99.00,99.48,2273800,95.69
2007-11-09,101.51,102.35,99.72,99.74,2536000,95.94
2007-11-08,101.00,103.02,99.56,102.44,2976500,98.54
2007-11-07,102.41,103.06,100.53,100.64,1793100,96.80
2007-11-06,102.65,103.94,102.55,103.83,1177500,99.87
2007-11-05,101.45,103.57,101.28,102.59,1503600,98.68
2007-11-02,101.50,104.00,100.48,102.43,2357500,98.53
2007-11-01,102.65,103.00,101.06,101.21,1956200,97.35
2007-10-31,103.70,104.25,102.45,103.34,2180000,99.40
2007-10-30,103.00,103.86,102.70,103.23,1216100,99.30
2007-10-29,104.50,105.00,102.89,103.39,1199900,99.45
2007-10-26,104.53,104.54,102.68,103.94,1686600,99.98
2007-10-25,104.51,104.51,101.89,103.30,3014800,99.36
2007-10-24,103.52,104.78,102.44,104.20,2323900,100.23
2007-10-23,103.75,104.33,103.19,104.22,1637400,100.25
2007-10-22,101.90,103.63,101.90,103.03,3303600,99.10
2007-10-19,104.88,105.06,103.19,103.32,2630000,99.38
2007-10-18,104.64,105.45,104.16,105.31,1269700,101.30
2007-10-17,106.00,106.32,103.40,104.87,1873200,100.87
2007-10-16,105.13,106.55,104.67,104.89,1745200,100.89
2007-10-15,107.41,107.54,105.16,105.78,1919500,101.75
2007-10-12,106.39,107.92,106.20,107.51,1447500,103.41
2007-10-11,107.34,108.14,105.35,106.39,1993000,102.33
2007-10-10,107.11,107.70,106.71,107.29,1571800,103.20
2007-10-09,106.27,107.70,106.27,107.11,2122200,103.03
2007-10-08,106.30,106.47,105.00,106.10,1017600,102.06
2007-10-05,105.41,106.50,104.36,106.06,2323300,102.02
2007-10-04,105.50,105.62,104.32,104.75,1239400,100.76
2007-10-03,106.20,106.38,104.58,105.29,1741400,101.28
2007-10-02,106.00,106.97,105.16,106.50,1836900,102.44
2007-10-01,104.99,106.48,104.50,106.20,1628500,102.15
2007-09-28,104.72,104.95,104.05,104.75,1852900,100.76
2007-09-27,105.00,105.12,104.40,104.64,1766600,100.65
2007-09-26,104.88,105.01,103.86,104.73,2084300,100.74
2007-09-25,102.28,104.88,102.28,104.59,2522700,100.60
2007-09-24,104.11,104.65,102.05,102.86,3516500,98.94
2007-09-21,104.73,105.60,103.44,104.10,3570000,100.13
2007-09-20,105.91,106.25,103.60,104.45,7240600,100.47
2007-09-19,109.28,109.87,106.81,107.51,4351000,103.41
2007-09-18,108.65,109.08,106.50,108.99,2906100,104.84
2007-09-17,108.35,108.80,107.84,108.11,1252400,103.99
2007-09-14,108.04,109.49,107.98,109.18,1006700,105.02
2007-09-13,108.49,109.76,108.09,108.92,1116400,104.77
2007-09-12,107.91,108.92,107.26,107.83,1232900,103.72
2007-09-11,107.99,109.35,107.76,108.63,1047300,104.49
2007-09-10,108.35,108.72,106.74,108.00,1528100,103.88
2007-09-07,108.85,109.29,107.80,108.21,1539800,104.09
2007-09-06,109.59,110.30,108.52,110.17,917700,105.97
2007-09-05,109.90,110.44,108.89,109.92,1302900,105.63
2007-09-04,109.80,111.29,108.90,110.85,1090500,106.53
2007-08-31,109.85,110.40,108.68,109.68,1298400,105.40
2007-08-30,108.80,110.47,108.40,108.97,1081500,104.72
2007-08-29,108.40,110.12,108.05,109.92,1086600,105.63
2007-08-28,109.85,110.30,107.75,107.78,1267800,103.58
2007-08-27,111.01,111.71,110.09,110.54,746700,106.23
2007-08-24,110.05,111.08,109.83,111.08,1035600,106.75
2007-08-23,110.60,111.05,109.54,110.31,2005700,106.01
2007-08-22,110.76,110.76,109.26,110.57,1678000,106.26
2007-08-21,108.60,109.29,107.05,108.81,1978000,104.57
2007-08-20,107.97,109.07,107.56,108.93,2068700,104.68
2007-08-17,107.00,110.00,106.00,108.00,3066100,103.79
2007-08-16,104.71,105.00,99.30,104.17,5376200,100.11
2007-08-15,107.79,108.62,106.55,106.67,2460500,102.51
2007-08-14,110.03,110.19,107.53,107.57,2459700,103.38
2007-08-13,109.60,110.70,109.45,110.08,2756700,105.79
2007-08-10,108.45,109.65,108.00,109.04,3824100,104.79
2007-08-09,108.55,110.34,107.75,109.50,3530400,105.23
2007-08-08,111.04,112.35,109.15,110.09,3084200,105.80
2007-08-07,110.00,112.12,109.99,111.31,2146300,106.97
2007-08-06,108.75,110.84,108.55,110.83,2034300,106.51
2007-08-03,111.05,111.15,108.55,108.56,2178600,104.33
2007-08-02,109.50,112.54,108.64,110.89,1950600,106.57
2007-08-01,110.10,112.18,109.50,111.14,2498400,106.81
2007-07-31,112.60,112.65,110.74,110.74,2264100,106.42
2007-07-30,109.63,112.05,109.40,112.02,1809100,107.65
2007-07-27,110.68,111.20,109.01,109.63,2819500,105.36
2007-07-26,110.63,118.50,108.81,110.90,5208900,106.58
2007-07-25,114.69,114.69,112.14,112.95,2389100,108.55
2007-07-24,114.90,115.19,113.17,113.39,3223800,108.97
2007-07-23,115.67,116.39,114.57,115.63,2762100,111.12
2007-07-20,116.95,117.00,115.30,115.67,2679300,111.16
2007-07-19,117.10,118.02,117.01,117.20,1974100,112.63
2007-07-18,116.00,117.66,115.13,116.56,2088500,112.01
2007-07-17,115.90,117.28,115.30,116.42,1844400,111.88
2007-07-16,116.75,117.24,115.16,115.64,1765400,111.13
2007-07-13,113.95,119.10,113.83,117.25,4619500,112.68
2007-07-12,114.30,114.43,113.23,114.42,1578400,109.96
2007-07-11,112.81,114.33,112.47,113.52,1742300,109.09
2007-07-10,115.00,116.00,112.33,112.81,3850400,108.41
2007-07-09,113.37,116.90,112.58,116.17,5535800,111.64
2007-07-06,110.38,111.00,109.83,110.84,1073000,106.52
2007-07-05,110.95,111.20,109.96,110.38,1206300,106.08
2007-07-03,110.80,111.46,110.28,111.00,743000,106.67
2007-07-02,111.85,111.85,109.42,110.79,1940500,106.47
2007-06-29,112.38,112.69,110.20,110.97,3282100,106.64
2007-06-28,111.46,113.10,110.57,112.37,2189600,107.99
2007-06-27,110.84,111.79,110.00,111.60,2045900,107.25
2007-06-26,111.70,113.03,111.14,111.69,2288900,107.33
2007-06-25,109.99,112.64,109.70,111.58,2903300,107.23
2007-06-22,110.31,111.47,109.70,109.96,1898100,105.67
2007-06-21,110.01,111.74,109.79,110.92,2235300,106.59
2007-06-20,108.51,112.35,108.51,109.80,6007900,105.52
2007-06-19,109.41,109.44,107.81,108.06,3049300,103.85
2007-06-18,111.35,111.35,109.40,109.92,2143100,105.63
2007-06-15,111.45,112.71,110.50,111.37,1946600,107.03
2007-06-14,108.92,110.99,108.89,110.78,2546300,106.46
2007-06-13,107.90,108.82,107.13,108.82,1440200,104.58
2007-06-12,108.63,108.96,107.05,107.05,1490700,102.88
2007-06-11,109.02,109.69,108.04,108.63,893100,104.39
2007-06-08,107.50,109.40,107.50,109.40,2400900,105.13
2007-06-07,108.88,109.83,107.40,107.40,2504500,103.21
2007-06-06,109.98,110.00,108.51,109.28,1469400,104.92
2007-06-05,110.20,111.67,110.00,110.50,1336100,106.09
2007-06-04,111.48,111.85,110.48,110.92,1213300,106.50
2007-06-01,112.00,113.28,110.33,111.29,2766300,106.85
2007-05-31,108.92,111.67,108.65,111.62,3043900,107.17
2007-05-30,108.40,108.87,107.60,108.81,2016800,104.47
2007-05-29,106.65,109.00,106.52,108.49,2881200,104.16
2007-05-25,106.03,106.88,105.90,105.96,3449700,101.74
2007-05-24,106.44,107.15,105.71,105.92,3646900,101.70
2007-05-23,104.65,106.55,104.61,106.06,3424400,101.83
2007-05-22,106.02,106.05,104.01,104.49,5422000,100.32
2007-05-21,106.68,106.72,105.56,105.82,3626000,101.60
2007-05-18,107.50,107.50,106.20,106.55,3950800,102.30
2007-05-17,108.50,109.00,107.11,107.23,2147400,102.95
2007-05-16,107.10,109.18,107.00,108.94,1967900,104.60
2007-05-15,107.90,108.36,106.76,106.85,1393200,102.59
2007-05-14,108.11,108.60,107.00,107.41,975100,103.13
2007-05-11,107.38,108.47,107.04,108.26,1013300,103.94
2007-05-10,108.54,108.80,106.99,107.24,2268500,102.96
2007-05-09,109.05,109.19,107.77,108.54,971500,104.21
2007-05-08,108.96,109.06,107.79,108.72,1787300,104.38
2007-05-07,109.69,110.30,108.92,108.97,1458800,104.63
2007-05-04,109.47,109.98,109.17,109.50,1894800,105.13
2007-05-03,108.60,109.74,108.60,109.34,1948100,104.98
2007-05-02,106.31,108.26,105.98,107.71,2245300,103.42
2007-05-01,105.90,106.43,105.53,106.11,2834600,101.88
2007-04-30,107.60,107.72,105.44,105.44,1980300,101.24
2007-04-27,108.00,108.27,106.07,107.22,2145800,102.94
2007-04-26,107.92,108.67,107.54,108.27,1474000,103.95
2007-04-25,107.27,108.44,107.22,108.12,1474300,103.81
2007-04-24,107.80,107.92,106.62,107.15,1287000,102.88
2007-04-23,109.25,109.78,107.73,107.94,1210500,103.64
2007-04-20,109.15,110.25,107.56,109.03,2921300,104.68
2007-04-19,109.44,109.44,107.16,107.30,1570600,103.02
2007-04-18,107.95,108.50,107.58,107.89,1769300,103.59
2007-04-17,108.70,109.20,108.12,108.55,1686100,104.22
2007-04-16,108.30,108.93,107.73,108.47,2039000,104.14
2007-04-13,108.51,108.55,106.88,107.91,1028600,103.61
2007-04-12,107.10,108.55,106.30,108.55,1556000,104.22
2007-04-11,108.20,108.91,106.72,107.21,1711500,102.94
2007-04-10,109.00,109.37,108.06,108.33,1369400,104.01
2007-04-09,109.00,110.36,108.93,109.26,2094900,104.90
2007-04-05,108.00,108.94,107.60,108.82,1367300,104.48
2007-04-04,108.01,108.44,107.75,108.11,1799500,103.80
2007-04-03,107.05,107.75,106.53,107.63,2025200,103.34
2007-04-02,105.55,106.33,105.15,106.07,3368900,101.84
2007-03-30,107.94,108.26,106.29,107.43,2228800,103.15
2007-03-29,108.60,109.20,106.69,107.70,2261500,103.41
2007-03-28,110.00,110.00,107.62,107.67,2774300,103.38
2007-03-27,110.75,110.75,110.00,110.05,1995000,105.66
2007-03-26,112.20,113.00,110.54,110.83,2476000,106.41
2007-03-23,110.63,112.88,110.30,112.71,2005400,108.22
2007-03-22,111.02,111.35,110.10,110.63,2338200,106.22
2007-03-21,109.20,112.11,109.00,110.99,5472500,106.56
2007-03-20,112.43,112.66,111.74,112.29,1698100,107.81
2007-03-19,112.25,113.00,111.63,112.48,1528100,108.00
2007-03-16,111.88,112.37,110.43,111.14,2563600,106.71
2007-03-15,112.10,113.00,111.68,111.88,1268900,107.42
2007-03-14,113.09,113.57,109.94,112.62,2464700,108.13
2007-03-13,114.60,115.05,112.69,112.69,2088900,108.20
2007-03-12,114.25,115.69,113.84,115.14,1105200,110.55
2007-03-09,115.87,116.76,114.11,114.67,1478400,110.10
2007-03-08,113.20,113.86,112.85,113.59,1267800,109.06
2007-03-07,112.20,112.92,111.89,112.35,1128600,107.78
2007-03-06,112.25,112.97,111.51,112.57,1558700,107.99
2007-03-05,110.40,112.41,110.38,111.17,2008200,106.65
2007-03-02,113.70,114.15,112.25,112.50,1590900,107.93
2007-03-01,113.05,114.75,111.29,114.16,2307000,109.52
2007-02-28,114.70,115.50,113.80,114.23,1697200,109.59
2007-02-27,116.00,116.39,112.50,113.72,2766200,109.10
2007-02-26,121.20,121.42,116.79,116.99,2392200,112.24
2007-02-23,119.01,120.97,118.03,120.97,2038800,116.05
2007-02-22,119.61,119.70,118.44,119.01,1376300,114.17
2007-02-21,118.00,119.42,117.65,119.13,1573900,114.29
2007-02-20,116.30,118.37,116.20,118.29,1587100,113.48
2007-02-16,117.50,117.59,116.46,117.05,1318100,112.29
2007-02-15,117.50,117.85,116.21,117.29,1357800,112.52
2007-02-14,115.10,118.15,114.99,117.58,3087900,112.80
2007-02-13,113.18,113.72,111.84,113.54,1512100,108.93
2007-02-12,113.75,114.16,113.00,113.18,961900,108.58
2007-02-09,114.20,114.39,113.06,113.39,1085200,108.78
2007-02-08,114.78,114.79,113.01,113.75,1463400,109.13
2007-02-07,115.00,115.68,114.38,115.23,1787800,110.55
2007-02-06,114.24,115.10,113.33,115.00,1887700,110.33
2007-02-05,114.40,114.90,113.56,113.85,1450300,109.22
2007-02-02,113.70,115.36,113.00,114.98,2994800,110.31
2007-02-01,110.67,111.90,110.30,111.89,1626400,107.34
2007-01-31,109.20,110.46,108.40,110.40,1974100,105.91
2007-01-30,109.62,110.21,108.61,109.21,2447400,104.77
2007-01-29,110.24,111.58,110.10,110.80,1596200,106.30
2007-01-26,110.45,110.95,108.93,109.89,1879800,105.42
2007-01-25,110.48,111.15,110.26,110.56,1976900,106.07
2007-01-24,109.29,110.90,109.00,110.58,1214100,106.09
2007-01-23,109.62,110.60,108.66,109.22,1866900,104.78
2007-01-22,110.65,111.12,108.64,109.62,2168500,105.16
2007-01-19,111.25,111.62,110.53,110.98,1401200,106.47
2007-01-18,112.83,112.83,110.45,110.81,1857200,106.31
2007-01-17,111.12,111.95,111.05,111.25,1801900,106.73
2007-01-16,111.90,112.90,111.13,111.68,3118300,107.14
2007-01-12,107.51,109.21,107.50,108.86,1541700,104.44
2007-01-11,107.84,108.25,106.96,107.67,1613900,103.29
2007-01-10,107.51,107.89,106.63,107.59,1252800,103.22
2007-01-09,108.80,109.47,107.29,108.17,1627100,103.77
2007-01-08,108.00,108.31,106.92,107.85,1456700,103.47
2007-01-05,108.25,108.53,107.04,107.53,1346800,103.16
2007-01-04,109.77,109.77,108.24,108.48,2248200,104.07
2007-01-03,108.75,111.06,108.66,109.77,2596700,105.31
2006-12-29,107.80,108.89,107.63,108.62,1462200,104.21
2006-12-28,107.60,108.48,107.10,107.95,1328800,103.56
2006-12-27,108.00,108.90,107.18,107.94,1427900,103.55
2006-12-26,108.50,108.50,106.69,107.42,1607900,103.05
2006-12-22,109.00,109.00,106.69,107.47,2362800,103.10
2006-12-21,112.00,112.20,108.06,108.54,4037900,104.13
2006-12-20,110.09,112.37,109.60,111.85,5224900,107.30
2006-12-19,114.99,115.00,113.00,114.00,2285000,109.37
2006-12-18,115.00,115.55,114.40,115.06,2312400,110.38
2006-12-15,115.20,115.96,114.75,115.06,1883800,110.38
2006-12-14,113.18,115.22,112.67,114.97,1481000,110.30
2006-12-13,115.40,115.40,112.95,113.18,2247600,108.58
2006-12-12,115.07,115.42,114.00,114.70,1894700,110.04
2006-12-11,115.30,115.80,114.81,115.07,1320300,110.39
2006-12-08,116.28,116.52,114.95,115.30,1376800,110.61
2006-12-07,117.50,117.50,116.17,116.83,1337500,112.00
2006-12-06,117.17,117.58,116.36,116.47,1156600,111.65
2006-12-05,116.12,117.74,115.46,117.48,1442400,112.62
2006-12-04,115.40,117.16,115.19,116.03,1412000,111.23
2006-12-01,115.50,115.91,113.47,114.87,1568300,110.12
2006-11-30,116.00,116.10,114.39,115.43,1511900,110.65
2006-11-29,116.31,117.16,115.29,116.00,1436000,111.20
2006-11-28,116.10,116.43,114.42,115.90,1484900,111.10
2006-11-27,117.04,118.04,115.46,116.10,1812200,111.30
2006-11-24,118.21,118.27,117.09,117.36,725600,112.50
2006-11-22,118.23,119.21,117.41,118.63,1074200,113.72
2006-11-21,118.28,118.55,117.38,117.58,967000,112.71
2006-11-20,118.29,118.29,116.87,117.58,944500,112.71
2006-11-17,118.15,118.47,117.00,117.44,1287800,112.58
2006-11-16,117.98,118.42,116.84,118.14,2077000,113.25
2006-11-15,115.89,117.99,115.70,117.31,1856300,112.46
2006-11-14,115.99,116.00,114.04,115.50,1626400,110.72
2006-11-13,115.10,116.91,115.00,115.41,1414300,110.63
2006-11-10,113.80,115.04,113.04,114.75,1103700,110.00
2006-11-09,115.37,115.37,113.48,113.48,1527700,108.78
2006-11-08,114.85,115.66,113.40,114.89,1418000,110.14
2006-11-07,113.85,115.41,113.20,115.03,1550600,110.27
